2025-01-09 22:11:45,559 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 22:11:46,154 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:11:46,155 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:11:46,156 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:11:46,176 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:11:46,178 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:11:46,179 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:11:46,180 [INFO] main           :78        Reading tag: tag_2
2025-01-09 22:11:46,192 [INFO] main           :98        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-09 22:11:46,193 [INFO] main           :100       Converted value for tag_2: 12309
2025-01-09 22:11:46,194 [INFO] main           :108       Converted tag_2 into signed: 12309
2025-01-09 22:11:46,196 [INFO] main           :78        Reading tag: tag_3
2025-01-09 22:11:46,204 [INFO] main           :98        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 22:11:46,205 [INFO] main           :100       Converted value for tag_3: 2220
2025-01-09 22:11:46,206 [INFO] main           :108       Converted tag_3 into signed: 2220
2025-01-09 22:11:46,207 [INFO] main           :78        Reading tag: tag_4
2025-01-09 22:11:46,240 [INFO] main           :98        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 22:11:46,241 [INFO] main           :100       Converted value for tag_4: 131532758
2025-01-09 22:11:46,243 [INFO] main           :108       Converted tag_4 into signed: 131532758
2025-01-09 22:11:46,244 [INFO] main           :78        Reading tag: tag_5
2025-01-09 22:11:46,252 [INFO] main           :98        Converting data for tag tag_5 - High Word: 16717, Low Word: 20046
2025-01-09 22:11:46,253 [INFO] main           :100       Converted value for tag_5: 1313751373
2025-01-09 22:11:46,254 [INFO] main           :108       Converted tag_5 into signed: 1313751373
