2025-01-07 22:48:59,325 [INFO] logger         :39        Logger initialized successfully!
2025-01-07 22:48:59,966 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:48:59,968 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:48:59,970 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:49:00,097 [INFO] main           :86        Converting data for tag tag_1 - High Word: 12300, Low Word: 0
2025-01-07 22:49:00,098 [INFO] main           :88        Converted value for tag_1: 12300
2025-01-07 22:49:00,099 [INFO] main           :95        Converted tag_1 into signed: 12300
2025-01-07 22:49:00,100 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:49:00,197 [INFO] main           :86        Converting data for tag tag_2 - High Word: 38168, Low Word: 662
2025-01-07 22:49:00,198 [INFO] main           :88        Converted value for tag_2: 43423000
2025-01-07 22:49:00,200 [INFO] main           :95        Converted tag_2 into signed: 43423000
2025-01-07 22:49:00,201 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:49:00,281 [INFO] main           :86        Converting data for tag tag_3 - High Word: 4500, Low Word: 0
2025-01-07 22:49:00,282 [INFO] main           :88        Converted value for tag_3: 4500
2025-01-07 22:49:00,283 [INFO] main           :95        Converted tag_3 into signed: 4500
2025-01-07 22:49:00,284 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:49:00,709 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:49:00,710 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:49:00,711 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:49:00,712 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:49:00,893 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:49:00,894 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:49:00,895 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:49:00,896 [INFO] main           :100       Data after conversion: [['tag_1', 12300], ['tag_2', 43423000], ['tag_3', 4500], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:49:01,610 [INFO] main           :183       No messages in the queue.
2025-01-07 22:49:01,701 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:49:03,982 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:49:03,983 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:49:03,984 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:49:04,001 [INFO] main           :86        Converting data for tag tag_1 - High Word: 12300, Low Word: 0
2025-01-07 22:49:04,002 [INFO] main           :88        Converted value for tag_1: 12300
2025-01-07 22:49:04,003 [INFO] main           :95        Converted tag_1 into signed: 12300
2025-01-07 22:49:04,004 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:49:04,017 [INFO] main           :86        Converting data for tag tag_2 - High Word: 38168, Low Word: 662
2025-01-07 22:49:04,018 [INFO] main           :88        Converted value for tag_2: 43423000
2025-01-07 22:49:04,019 [INFO] main           :95        Converted tag_2 into signed: 43423000
2025-01-07 22:49:04,020 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:49:04,033 [INFO] main           :86        Converting data for tag tag_3 - High Word: 4500, Low Word: 0
2025-01-07 22:49:04,034 [INFO] main           :88        Converted value for tag_3: 4500
2025-01-07 22:49:04,035 [INFO] main           :95        Converted tag_3 into signed: 4500
2025-01-07 22:49:04,036 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:49:04,049 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:49:04,050 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:49:04,051 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:49:04,053 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:49:04,065 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:49:04,066 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:49:04,067 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:49:04,069 [INFO] main           :100       Data after conversion: [['tag_1', 12300], ['tag_2', 43423000], ['tag_3', 4500], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:49:04,369 [INFO] main           :183       No messages in the queue.
2025-01-07 22:49:04,461 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:49:06,722 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:49:06,723 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:49:06,724 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:49:06,745 [INFO] main           :86        Converting data for tag tag_1 - High Word: 12300, Low Word: 0
2025-01-07 22:49:06,746 [INFO] main           :88        Converted value for tag_1: 12300
2025-01-07 22:49:06,747 [INFO] main           :95        Converted tag_1 into signed: 12300
2025-01-07 22:49:06,748 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:49:06,761 [INFO] main           :86        Converting data for tag tag_2 - High Word: 38168, Low Word: 662
2025-01-07 22:49:06,762 [INFO] main           :88        Converted value for tag_2: 43423000
2025-01-07 22:49:06,763 [INFO] main           :95        Converted tag_2 into signed: 43423000
