2025-01-09 22:17:21,012 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 22:17:21,582 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:17:21,583 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:17:21,584 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:17:21,608 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:17:21,609 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:17:21,610 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:17:21,612 [INFO] main           :78        Reading tag: tag_2
2025-01-09 22:17:21,644 [INFO] main           :98        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-09 22:17:21,645 [INFO] main           :100       Converted value for tag_2: 12309
2025-01-09 22:17:21,646 [INFO] main           :108       Converted tag_2 into signed: 12309
2025-01-09 22:17:21,648 [INFO] main           :78        Reading tag: tag_3
2025-01-09 22:17:21,660 [INFO] main           :98        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 22:17:21,662 [INFO] main           :100       Converted value for tag_3: 2220
2025-01-09 22:17:21,664 [INFO] main           :108       Converted tag_3 into signed: 2220
2025-01-09 22:17:21,665 [INFO] main           :78        Reading tag: tag_4
2025-01-09 22:17:21,676 [INFO] main           :98        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 22:17:21,677 [INFO] main           :100       Converted value for tag_4: 131532758
2025-01-09 22:17:21,678 [INFO] main           :108       Converted tag_4 into signed: 131532758
2025-01-09 22:17:21,680 [INFO] main           :78        Reading tag: tag_5
2025-01-09 22:17:21,692 [INFO] main           :98        Converting data for tag tag_5 - High Word: 16717, Low Word: 20046
2025-01-09 22:17:21,693 [INFO] main           :100       Converted value for tag_5: 1313751373
2025-01-09 22:17:21,694 [INFO] main           :108       Converted tag_5 into signed: 1313751373
