2025-01-10 00:47:17,399 [INFO] logger         :39        Logger initialized successfully!
2025-01-10 00:47:18,030 [INFO] main           :64        Modbus Device Connected
2025-01-10 00:47:18,031 [INFO] main           :75        Getting Tags Data...
2025-01-10 00:47:18,032 [INFO] main           :81        Reading tag: tag_1
2025-01-10 00:47:18,060 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 00:47:18,061 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 00:47:18,062 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 00:47:18,063 [INFO] main           :81        Reading tag: tag_2
2025-01-10 00:47:18,076 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 00:47:18,077 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 00:47:18,078 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 00:47:18,079 [INFO] main           :81        Reading tag: tag_3
2025-01-10 00:47:18,092 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:47:18,093 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:47:18,094 [INFO] main           :113       Converted tag_3 into signed: 12340
2025-01-10 00:47:18,095 [INFO] main           :81        Reading tag: tag_4
2025-01-10 00:47:18,104 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:47:18,106 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 00:47:18,107 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 00:47:18,109 [INFO] main           :81        Reading tag: tag_5
2025-01-10 00:47:18,120 [INFO] main           :102       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:47:18,121 [INFO] main           :104       Converted value for tag_5: 1095585358
2025-01-10 00:47:18,122 [INFO] main           :113       Converted tag_5 into signed: 1095585358
2025-01-10 00:47:18,123 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:47:18,125 [INFO] main           :254       TAG 2 Value Moderate
2025-01-10 00:47:18,409 [INFO] main           :219       No messages in the queue.
2025-01-10 00:47:18,492 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:47:19,495 [INFO] main           :279       Time taken: 1.713691234588623
2025-01-10 00:47:19,757 [INFO] main           :64        Modbus Device Connected
2025-01-10 00:47:19,758 [INFO] main           :75        Getting Tags Data...
