2025-01-09 23:16:01,746 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 23:16:02,133 [INFO] smtp_email     :38        Not Sent: name 'send' is not defined
2025-01-09 23:16:02,418 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:16:02,419 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:16:02,420 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:16:02,444 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:16:02,446 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:16:02,447 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:16:02,449 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:16:02,464 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:16:02,465 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:16:02,466 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:16:02,468 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:16:02,480 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:16:02,481 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:16:02,482 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:16:02,483 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:16:02,496 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:16:02,497 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:16:02,498 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:16:02,499 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:16:02,512 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:16:02,513 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:16:02,514 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:16:02,516 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 3430], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:16:02,517 [INFO] main           :244       TAG 2 Value exceeded 1500!
2025-01-09 23:16:02,518 [INFO] main           :248       Not Sent!
2025-01-09 23:16:02,821 [INFO] main           :216       No messages in the queue.
2025-01-09 23:16:02,897 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:16:04,146 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:16:04,147 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:16:04,149 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:16:04,164 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:16:04,165 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:16:04,166 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:16:04,168 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:16:04,180 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:16:04,181 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:16:04,182 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:16:04,183 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:16:04,196 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:16:04,197 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:16:04,199 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:16:04,200 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:16:04,212 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:16:04,213 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:16:04,214 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:16:04,216 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:16:04,228 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:16:04,229 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:16:04,230 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:16:04,232 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 3430], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:16:04,233 [INFO] main           :244       TAG 2 Value exceeded 1500!
2025-01-09 23:16:04,234 [INFO] main           :248       Not Sent!
2025-01-09 23:16:04,525 [INFO] main           :216       No messages in the queue.
2025-01-09 23:16:04,608 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:16:06,031 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:16:06,033 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:16:06,035 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:16:06,069 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:16:06,070 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:16:06,072 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:16:06,074 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:16:06,109 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:16:06,111 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:16:06,113 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:16:06,114 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:16:06,193 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:16:06,195 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:16:06,197 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:16:06,199 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:16:06,213 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:16:06,215 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:16:06,216 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:16:06,218 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:16:06,241 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:16:06,242 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:16:06,244 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:16:06,246 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 3430], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:16:06,248 [INFO] main           :244       TAG 2 Value exceeded 1500!
2025-01-09 23:16:06,250 [INFO] main           :248       Not Sent!
2025-01-09 23:16:06,762 [INFO] main           :216       No messages in the queue.
2025-01-09 23:16:06,956 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:16:08,417 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:16:08,418 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:16:08,420 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:16:08,588 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:16:08,590 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:16:08,591 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:16:08,592 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:16:08,760 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:16:08,761 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:16:08,763 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:16:08,764 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:16:08,840 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:16:08,841 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:16:08,842 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:16:08,844 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:16:08,893 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:16:08,894 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:16:08,896 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:16:08,898 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:16:08,976 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:16:08,978 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:16:08,979 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:16:08,980 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 3430], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:16:08,981 [INFO] main           :244       TAG 2 Value exceeded 1500!
2025-01-09 23:16:08,983 [INFO] main           :248       Not Sent!
2025-01-09 23:16:09,734 [INFO] main           :216       No messages in the queue.
2025-01-09 23:16:09,840 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:16:11,095 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:16:11,097 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:16:11,099 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:16:11,121 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:16:11,123 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:16:11,124 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:16:11,126 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:16:11,133 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:16:11,135 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:16:11,137 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:16:11,138 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:16:11,145 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:16:11,147 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:16:11,149 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:16:11,150 [INFO] main           :80        Reading tag: tag_4
