2025-01-07 21:35:40,263 [INFO] logger         :39        Logger initialized successfully!
2025-01-07 21:35:41,678 [INFO] main           :55        Modbus Device Connected
2025-01-07 21:35:41,679 [INFO] main           :63        Getting Tags Data...
2025-01-07 21:35:41,680 [INFO] main           :68        Reading tag: tag_1
2025-01-07 21:35:41,857 [INFO] main           :85        Converting data for tag tag_1 - High Word: 876, Low Word: 0
2025-01-07 21:35:41,858 [INFO] main           :87        Converted value for tag_1: 876
2025-01-07 21:35:41,860 [INFO] main           :94        Converted tag_1 into signed: 876
2025-01-07 21:35:41,861 [INFO] main           :68        Reading tag: tag_2
2025-01-07 21:35:41,921 [INFO] main           :85        Converting data for tag tag_2 - High Word: 3423, Low Word: 0
2025-01-07 21:35:41,922 [INFO] main           :87        Converted value for tag_2: 3423
2025-01-07 21:35:41,923 [INFO] main           :94        Converted tag_2 into signed: 3423
2025-01-07 21:35:41,925 [INFO] main           :68        Reading tag: tag_3
2025-01-07 21:35:41,957 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 21:35:41,958 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 21:35:41,959 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 21:35:41,960 [INFO] main           :68        Reading tag: tag_4
2025-01-07 21:35:42,021 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 21:35:42,022 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 21:35:42,023 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 21:35:42,024 [INFO] main           :68        Reading tag: tag_5
2025-01-07 21:35:42,081 [INFO] main           :85        Converting data for tag tag_5 - High Word: 76, Low Word: 0
2025-01-07 21:35:42,082 [INFO] main           :87        Converted value for tag_5: 76
2025-01-07 21:35:42,084 [INFO] main           :94        Converted tag_5 into signed: 76
2025-01-07 21:35:42,085 [INFO] main           :99        Data after conversion: [['tag_1', 876], ['tag_2', 3423], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 76]]
2025-01-07 21:35:42,509 [INFO] main           :155       No messages in the queue.
2025-01-07 21:35:42,626 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 21:35:48,503 [INFO] main           :55        Modbus Device Connected
2025-01-07 21:35:48,505 [INFO] main           :63        Getting Tags Data...
2025-01-07 21:35:48,507 [INFO] main           :68        Reading tag: tag_1
2025-01-07 21:35:48,549 [INFO] main           :85        Converting data for tag tag_1 - High Word: 876, Low Word: 0
2025-01-07 21:35:48,551 [INFO] main           :87        Converted value for tag_1: 876
2025-01-07 21:35:48,553 [INFO] main           :94        Converted tag_1 into signed: 876
2025-01-07 21:35:48,555 [INFO] main           :68        Reading tag: tag_2
2025-01-07 21:35:48,569 [INFO] main           :85        Converting data for tag tag_2 - High Word: 3423, Low Word: 0
2025-01-07 21:35:48,571 [INFO] main           :87        Converted value for tag_2: 3423
2025-01-07 21:35:48,573 [INFO] main           :94        Converted tag_2 into signed: 3423
2025-01-07 21:35:48,575 [INFO] main           :68        Reading tag: tag_3
2025-01-07 21:35:48,617 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 21:35:48,619 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 21:35:48,621 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 21:35:48,623 [INFO] main           :68        Reading tag: tag_4
2025-01-07 21:35:48,653 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 21:35:48,655 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 21:35:48,657 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 21:35:48,659 [INFO] main           :68        Reading tag: tag_5
