2025-01-11 22:20:33,985 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 22:20:35,299 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:35,300 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:35,301 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:35,313 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:35,314 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:35,316 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:35,317 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:35,329 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:20:35,330 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:20:35,332 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:20:35,333 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:35,342 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:35,343 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:35,344 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:35,345 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:35,357 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:35,358 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:35,359 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:35,360 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:35,369 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:35,370 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:35,372 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:35,373 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:35,374 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:20:35,375 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:20:35,376 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-11 22:20:35,378 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-11 22:20:39,158 [INFO] main           :270       previous value: 0
2025-01-11 22:20:39,160 [INFO] main           :271       Notification Sent
2025-01-11 22:20:39,451 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:39,531 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:40,871 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:40,872 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:40,874 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:40,890 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:40,891 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:40,892 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:40,894 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:40,910 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:20:40,911 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:20:40,912 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:20:40,914 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:40,926 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:40,927 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:40,928 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:40,930 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:40,938 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:40,940 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:40,941 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:40,942 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:40,954 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:40,955 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:40,957 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:40,958 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:40,959 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:20:40,961 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:20:40,962 [INFO] main           :279       Previous Value: 12900
2025-01-11 22:20:40,964 [INFO] main           :280       Notification Not Sent.
2025-01-11 22:20:41,238 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:41,323 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:42,579 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:42,580 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:42,582 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:42,606 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:42,607 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:42,609 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:42,610 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:42,618 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:20:42,620 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:20:42,621 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:20:42,623 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:42,638 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:42,639 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:42,640 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:42,642 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:42,653 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:42,655 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:42,656 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:42,657 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:42,662 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:42,663 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:42,665 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:42,666 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:42,667 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:20:42,668 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:20:42,670 [INFO] main           :279       Previous Value: 12900
2025-01-11 22:20:42,671 [INFO] main           :280       Notification Not Sent.
2025-01-11 22:20:42,954 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:43,042 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:44,323 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:44,325 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:44,327 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:44,354 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:44,355 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:44,357 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:44,358 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:44,370 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:20:44,371 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:20:44,372 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:20:44,374 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:44,390 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:44,391 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:44,392 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:44,394 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:44,402 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:44,403 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:44,404 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:44,406 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:44,418 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:44,419 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:44,420 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:44,422 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:44,424 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:20:44,425 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:20:44,427 [INFO] main           :279       Previous Value: 12900
2025-01-11 22:20:44,429 [INFO] main           :280       Notification Not Sent.
2025-01-11 22:20:44,706 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:44,790 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:46,043 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:46,044 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:46,045 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:46,061 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:46,062 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:46,064 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:46,065 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:46,077 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1290, Low Word: 0
2025-01-11 22:20:46,079 [INFO] main           :106       Converted value for tag_2: 1290
2025-01-11 22:20:46,080 [INFO] main           :114       Converted tag_2 into signed: 1290
2025-01-11 22:20:46,081 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:46,090 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:46,091 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:46,092 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:46,093 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:46,105 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:46,106 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:46,107 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:46,109 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:46,121 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:46,123 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:46,124 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:46,126 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1290], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:46,127 [INFO] main           :262       tag_2 Value Moderate
2025-01-11 22:20:46,128 [CRITICAL] main           :263       tag_2 Value: 1290
2025-01-11 22:20:46,130 [INFO] main           :279       Previous Value: 1290
2025-01-11 22:20:46,131 [INFO] main           :280       Notification Not Sent.
2025-01-11 22:20:46,427 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:46,541 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:47,795 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:47,796 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:47,797 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:47,813 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:47,814 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:47,816 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:47,817 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:47,826 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1290, Low Word: 0
2025-01-11 22:20:47,827 [INFO] main           :106       Converted value for tag_2: 1290
2025-01-11 22:20:47,828 [INFO] main           :114       Converted tag_2 into signed: 1290
2025-01-11 22:20:47,829 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:47,841 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:47,842 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:47,844 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:47,845 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:47,853 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:47,855 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:47,856 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:47,857 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:47,865 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:47,866 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:47,868 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:47,869 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1290], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:47,870 [INFO] main           :262       tag_2 Value Moderate
2025-01-11 22:20:47,871 [CRITICAL] main           :263       tag_2 Value: 1290
2025-01-11 22:20:47,872 [INFO] main           :279       Previous Value: 1290
2025-01-11 22:20:47,873 [INFO] main           :280       Notification Not Sent.
2025-01-11 22:20:48,158 [INFO] main           :220       No messages in the queue.
2025-01-11 22:20:48,242 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:20:49,501 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:20:49,503 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:20:49,505 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:20:49,518 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:20:49,520 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:20:49,522 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:20:49,524 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:20:49,531 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:20:49,533 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:20:49,535 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:20:49,537 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:20:49,554 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:20:49,556 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:20:49,558 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:20:49,560 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:20:49,574 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:20:49,576 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:20:49,578 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:20:49,580 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:20:49,594 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:20:49,596 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:20:49,599 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:20:49,601 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:20:49,603 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:20:49,605 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:20:49,607 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-11 22:20:49,609 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-11 22:20:52,914 [INFO] main           :270       previous value: 1290
2025-01-11 22:20:52,916 [INFO] main           :271       Notification Sent
