2025-01-12 19:57:54,354 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 19:57:55,563 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 19:57:55,565 [INFO] main           :60        Modbus Device Connected
2025-01-12 19:57:55,566 [INFO] main           :71        Getting Tags Data...
2025-01-12 19:57:55,567 [INFO] main           :77        Reading tag: tag_1
2025-01-12 19:57:55,582 [INFO] main           :97        Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 19:57:55,583 [INFO] main           :99        Converted value for tag_1: 1230
2025-01-12 19:57:55,584 [INFO] main           :107       Converted tag_1 into signed: 1230
2025-01-12 19:57:55,586 [INFO] main           :77        Reading tag: tag_2
2025-01-12 19:57:55,598 [INFO] main           :97        Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 19:57:55,599 [INFO] main           :99        Converted value for tag_2: 12900
2025-01-12 19:57:55,600 [INFO] main           :107       Converted tag_2 into signed: 12900
2025-01-12 19:57:55,602 [INFO] main           :77        Reading tag: tag_3
2025-01-12 19:57:55,610 [INFO] main           :97        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 19:57:55,611 [INFO] main           :99        Converted value for tag_3: 20
2025-01-12 19:57:55,612 [INFO] main           :107       Converted tag_3 into signed: 20
2025-01-12 19:57:55,613 [INFO] main           :77        Reading tag: tag_4
2025-01-12 19:57:55,626 [INFO] main           :97        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 19:57:55,627 [INFO] main           :99        Converted value for tag_4: 10
2025-01-12 19:57:55,628 [INFO] main           :107       Converted tag_4 into signed: 10
2025-01-12 19:57:55,629 [INFO] main           :77        Reading tag: tag_5
2025-01-12 19:57:55,634 [INFO] main           :97        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 19:57:55,635 [INFO] main           :99        Converted value for tag_5: 1650549345
2025-01-12 19:57:55,637 [INFO] main           :107       Converted tag_5 into signed: 1650549345
2025-01-12 19:57:55,639 [INFO] main           :117       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 19:57:55,640 [CRITICAL] main           :246       tag_2 VALUE EXCEEDED 1500!
2025-01-12 19:57:55,641 [CRITICAL] main           :247       tag_2 VALUE: 12900
2025-01-12 19:57:59,390 [INFO] smtp_email     :37        Connected to SMTP!
2025-01-12 19:57:59,392 [INFO] main           :258       previous value: 0
2025-01-12 19:57:59,393 [INFO] main           :259       Notification Sent
2025-01-12 19:57:59,606 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 19:57:59,679 [INFO] main           :207       No messages in the queue.
