2025-01-09 23:27:21,715 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 23:27:22,393 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:27:22,395 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:27:22,396 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:27:22,412 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:27:22,413 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:27:22,415 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:27:22,416 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:27:22,428 [INFO] main           :100       Converting data for tag tag_2 - High Word: 123, Low Word: 0
2025-01-09 23:27:22,429 [INFO] main           :102       Converted value for tag_2: 123
2025-01-09 23:27:22,430 [INFO] main           :110       Converted tag_2 into signed: 123
2025-01-09 23:27:22,432 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:27:22,444 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:27:22,445 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:27:22,446 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:27:22,448 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:27:22,460 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:27:22,461 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:27:22,462 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:27:22,463 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:27:22,477 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:27:22,479 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:27:22,481 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:27:22,482 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 123], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:27:22,484 [INFO] main           :251       TAG 2 Value Moderate
2025-01-09 23:27:22,785 [INFO] main           :216       No messages in the queue.
2025-01-09 23:27:22,857 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:27:26,054 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:27:26,056 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:27:26,058 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:27:26,169 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:27:26,171 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:27:26,173 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:27:26,174 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:27:26,253 [INFO] main           :100       Converting data for tag tag_2 - High Word: 123, Low Word: 0
2025-01-09 23:27:26,255 [INFO] main           :102       Converted value for tag_2: 123
2025-01-09 23:27:26,257 [INFO] main           :110       Converted tag_2 into signed: 123
2025-01-09 23:27:26,259 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:27:26,306 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:27:26,308 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:27:26,310 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:27:26,311 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:27:26,321 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:27:26,323 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:27:26,325 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:27:26,327 [INFO] main           :80        Reading tag: tag_5
2025-01-09 23:27:26,337 [INFO] main           :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:27:26,339 [INFO] main           :102       Converted value for tag_5: 1095585358
2025-01-09 23:27:26,341 [INFO] main           :110       Converted tag_5 into signed: 1095585358
2025-01-09 23:27:26,342 [INFO] main           :120       Data after conversion: [['tag_1', 435], ['tag_2', 123], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:27:26,344 [INFO] main           :251       TAG 2 Value Moderate
2025-01-09 23:27:26,929 [INFO] main           :216       No messages in the queue.
2025-01-09 23:27:27,062 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 23:27:28,601 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:27:28,602 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:27:28,604 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:27:28,644 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:27:28,645 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:27:28,647 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:27:28,648 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:27:28,660 [INFO] main           :100       Converting data for tag tag_2 - High Word: 123, Low Word: 0
2025-01-09 23:27:28,661 [INFO] main           :102       Converted value for tag_2: 123
2025-01-09 23:27:28,662 [INFO] main           :110       Converted tag_2 into signed: 123
2025-01-09 23:27:28,664 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:27:28,705 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:27:28,706 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:27:28,707 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:27:28,708 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:27:28,792 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:27:28,794 [INFO] main           :102       Converted value for tag_4: 131532758
