2025-01-08 22:02:01,978 [INFO] logger         :39        Logger initialized successfully!
2025-01-08 22:02:02,559 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:02:02,560 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:02:02,562 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:02:02,582 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:02:02,583 [INFO] main           :92        Converted value for tag_1: 212310
2025-01-08 22:02:02,585 [INFO] main           :99        Converted tag_1 into signed: 212310
2025-01-08 22:02:02,586 [INFO] main           :69        Reading tag: tag_2
2025-01-08 22:02:02,602 [INFO] main           :88        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-08 22:02:02,603 [INFO] main           :92        Converted value for tag_2: 12309
2025-01-08 22:02:02,604 [INFO] main           :99        Converted tag_2 into signed: 12309
2025-01-08 22:02:02,605 [INFO] main           :69        Reading tag: tag_3
2025-01-08 22:02:02,618 [INFO] main           :88        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-08 22:02:02,619 [INFO] main           :92        Converted value for tag_3: 2220
2025-01-08 22:02:02,620 [INFO] main           :99        Converted tag_3 into signed: 2220
2025-01-08 22:02:02,621 [INFO] main           :69        Reading tag: tag_4
2025-01-08 22:02:02,634 [INFO] main           :88        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-08 22:02:02,635 [INFO] main           :92        Converted value for tag_4: 131532758
2025-01-08 22:02:02,636 [INFO] main           :99        Converted tag_4 into signed: 131532758
2025-01-08 22:02:02,638 [INFO] main           :69        Reading tag: tag_5
2025-01-08 22:02:02,650 [INFO] main           :88        Converting data for tag tag_5 - High Word: 16715, Low Word: 16722
2025-01-08 22:02:02,652 [INFO] main           :92        Converted value for tag_5: 1095909707
2025-01-08 22:02:02,653 [INFO] main           :99        Converted tag_5 into signed: 1095909707
2025-01-08 22:02:02,655 [INFO] main           :111       Data after conversion: [['tag_1', 212310], ['tag_2', 12309], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'KARA']]
2025-01-08 22:02:02,950 [INFO] main           :203       No messages in the queue.
2025-01-08 22:02:03,030 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-08 22:02:05,297 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:02:05,298 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:02:05,300 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:02:05,323 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:02:05,325 [INFO] main           :92        Converted value for tag_1: 212310
