2025-01-11 22:05:19,636 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 22:05:20,963 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:20,964 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:20,965 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:20,982 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:20,983 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:20,984 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:20,986 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:20,998 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:20,999 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:21,000 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:21,001 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:21,014 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:21,015 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:21,016 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:21,017 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:21,030 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:21,031 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:21,033 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:21,034 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:21,046 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:21,048 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:21,049 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:21,051 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:21,053 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:21,054 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:21,056 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-11 22:05:21,057 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-11 22:05:24,378 [INFO] main           :265       Notification Sent
2025-01-11 22:05:24,670 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:24,746 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:26,000 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:26,002 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:26,004 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:26,027 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:26,028 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:26,030 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:26,032 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:26,043 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:26,045 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:26,046 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:26,048 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:26,062 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:26,063 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:26,064 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:26,066 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:26,082 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:26,083 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:26,084 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:26,085 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:26,098 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:26,099 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:26,101 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:26,102 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:26,103 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:26,104 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:26,106 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:05:26,406 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:26,490 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:27,739 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:27,740 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:27,741 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:27,758 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:27,759 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:27,760 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:27,761 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:27,774 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:27,775 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:27,776 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:27,777 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:27,790 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:27,791 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:27,792 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:27,793 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:27,810 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:27,811 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:27,812 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:27,814 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:27,826 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:27,827 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:27,828 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:27,830 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:27,831 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:27,832 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:27,834 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:05:28,112 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:28,202 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:29,444 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:29,446 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:29,450 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:29,474 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:29,475 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:29,476 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:29,477 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:29,490 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:29,491 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:29,492 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:29,493 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:29,510 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:29,511 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:29,512 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:29,513 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:29,522 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:29,523 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:29,524 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:29,526 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:29,542 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:29,543 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:29,544 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:29,545 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:29,547 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:29,548 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:29,550 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:05:29,850 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:29,934 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:31,186 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:31,188 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:31,189 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:31,206 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:31,207 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:31,208 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:31,209 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:31,222 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:31,223 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:31,224 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:31,226 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:31,238 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:31,239 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:31,240 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:31,241 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:31,254 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:31,255 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:31,256 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:31,257 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:31,270 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:31,271 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:31,272 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:31,273 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:31,274 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:31,275 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:31,276 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:05:31,531 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:31,617 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:32,871 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:32,872 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:32,873 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:32,890 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:32,891 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:32,892 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:32,893 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:32,902 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:32,903 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:32,904 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:32,905 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:32,918 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:32,919 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:32,920 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:32,921 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:32,934 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:32,936 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:32,937 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:32,938 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:32,950 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:32,951 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:32,952 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:32,954 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:05:32,955 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:05:32,956 [CRITICAL] main           :253       tag_2 VALUE: 5100
2025-01-11 22:05:32,957 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:05:33,238 [INFO] main           :220       No messages in the queue.
2025-01-11 22:05:33,310 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:05:34,592 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:05:34,595 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:05:34,597 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:05:34,622 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:05:34,624 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:05:34,625 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:05:34,626 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:05:34,638 [INFO] main           :104       Converting data for tag tag_2 - High Word: 5100, Low Word: 0
2025-01-11 22:05:34,639 [INFO] main           :106       Converted value for tag_2: 5100
2025-01-11 22:05:34,641 [INFO] main           :114       Converted tag_2 into signed: 5100
2025-01-11 22:05:34,643 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:05:34,664 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:05:34,667 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:05:34,670 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:05:34,673 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:05:34,686 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:05:34,690 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:05:34,693 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:05:34,696 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:05:34,710 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:05:34,711 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:05:34,713 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:05:34,714 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 5100], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
