2025-01-11 22:08:04,389 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 22:08:05,639 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:08:05,640 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:08:05,641 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:08:05,653 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:08:05,655 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:08:05,656 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:08:05,657 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:08:05,669 [INFO] main           :104       Converting data for tag tag_2 - High Word: 23871, Low Word: 198
2025-01-11 22:08:05,670 [INFO] main           :106       Converted value for tag_2: 12999999
2025-01-11 22:08:05,672 [INFO] main           :114       Converted tag_2 into signed: 12999999
2025-01-11 22:08:05,673 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:08:05,681 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:08:05,682 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:08:05,684 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:08:05,685 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:08:05,697 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:08:05,698 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:08:05,699 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:08:05,701 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:08:05,709 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:08:05,711 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:08:05,712 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:08:05,714 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12999999], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:08:05,715 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:08:05,717 [CRITICAL] main           :253       tag_2 VALUE: 12999999
2025-01-11 22:08:05,719 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-11 22:08:05,720 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-11 22:08:08,918 [INFO] main           :265       Notification Sent
2025-01-11 22:08:09,254 [INFO] main           :220       No messages in the queue.
2025-01-11 22:08:09,348 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:08:10,603 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:08:10,604 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:08:10,606 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:08:10,638 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:08:10,639 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:08:10,640 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:08:10,642 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:08:10,654 [INFO] main           :104       Converting data for tag tag_2 - High Word: 23871, Low Word: 198
2025-01-11 22:08:10,655 [INFO] main           :106       Converted value for tag_2: 12999999
2025-01-11 22:08:10,656 [INFO] main           :114       Converted tag_2 into signed: 12999999
2025-01-11 22:08:10,658 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:08:10,674 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:08:10,675 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:08:10,677 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:08:10,679 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:08:10,698 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:08:10,699 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:08:10,700 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:08:10,702 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:08:10,710 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:08:10,711 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:08:10,714 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:08:10,716 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12999999], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:08:10,717 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:08:10,719 [CRITICAL] main           :253       tag_2 VALUE: 12999999
2025-01-11 22:08:10,720 [INFO] main           :269       Notification Not Sent.
2025-01-11 22:08:10,994 [INFO] main           :220       No messages in the queue.
2025-01-11 22:08:11,091 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:08:12,335 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:08:12,336 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:08:12,337 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:08:12,366 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:08:12,367 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:08:12,368 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:08:12,370 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:08:12,381 [INFO] main           :104       Converting data for tag tag_2 - High Word: 23871, Low Word: 198
2025-01-11 22:08:12,382 [INFO] main           :106       Converted value for tag_2: 12999999
2025-01-11 22:08:12,384 [INFO] main           :114       Converted tag_2 into signed: 12999999
