2025-01-07 00:20:20,405 [INFO] logger         :39        Logger initialized successfully!
2025-01-07 00:20:21,036 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:21,038 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:21,039 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:21,067 [INFO] main           :85        Converting data for tag tag_1 - High Word: 2456, Low Word: 0
2025-01-07 00:20:21,068 [INFO] main           :87        Converted value for tag_1: 2456
2025-01-07 00:20:21,069 [INFO] main           :94        Converted tag_1 into signed: 2456
2025-01-07 00:20:21,071 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:21,083 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:21,084 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:21,085 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:21,087 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:21,099 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:21,100 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:21,101 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:21,103 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:21,115 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:21,117 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:21,118 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:21,119 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:21,131 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:21,132 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:21,133 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:21,135 [INFO] main           :99        Data after conversion: [['tag_1', 2456], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:21,460 [INFO] main           :135       Received message: ['tag_1', '545234234']
2025-01-07 00:20:21,479 [INFO] main           :146       Tag Written successfully!
2025-01-07 00:20:21,587 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:26,858 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:26,860 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:26,862 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:26,884 [INFO] main           :85        Converting data for tag tag_1 - High Word: 40250, Low Word: 8319
2025-01-07 00:20:26,885 [INFO] main           :87        Converted value for tag_1: 545234234
2025-01-07 00:20:26,887 [INFO] main           :94        Converted tag_1 into signed: 545234234
2025-01-07 00:20:26,889 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:26,924 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:26,926 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:26,928 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:26,929 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:26,944 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:26,946 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:26,948 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:26,949 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:26,963 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:26,965 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:26,967 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:26,969 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:26,984 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:26,985 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:26,987 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:26,989 [INFO] main           :99        Data after conversion: [['tag_1', 545234234], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:27,316 [INFO] main           :135       Received message: ['tag_1', '545234234']
2025-01-07 00:20:27,335 [INFO] main           :146       Tag Written successfully!
2025-01-07 00:20:27,447 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:33,070 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:33,072 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:33,075 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:33,112 [INFO] main           :85        Converting data for tag tag_1 - High Word: 40250, Low Word: 8319
2025-01-07 00:20:33,114 [INFO] main           :87        Converted value for tag_1: 545234234
2025-01-07 00:20:33,116 [INFO] main           :94        Converted tag_1 into signed: 545234234
2025-01-07 00:20:33,117 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:33,148 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:33,150 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:33,152 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:33,154 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:33,204 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:33,205 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:33,207 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:33,209 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:33,227 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:33,229 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:33,231 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:33,233 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:33,264 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:33,265 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:33,267 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:33,269 [INFO] main           :99        Data after conversion: [['tag_1', 545234234], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:33,792 [INFO] main           :135       Received message: ['tag_1', '909090']
2025-01-07 00:20:33,855 [INFO] main           :146       Tag Written successfully!
2025-01-07 00:20:33,979 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:39,412 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:39,413 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:39,415 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:39,455 [INFO] main           :85        Converting data for tag tag_1 - High Word: 57122, Low Word: 13
2025-01-07 00:20:39,456 [INFO] main           :87        Converted value for tag_1: 909090
2025-01-07 00:20:39,457 [INFO] main           :94        Converted tag_1 into signed: 909090
2025-01-07 00:20:39,459 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:39,503 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:39,504 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:39,505 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:39,506 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:39,555 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:39,556 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:39,558 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:39,559 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:39,583 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:39,584 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:39,585 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:39,587 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:39,619 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:39,620 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:39,621 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:39,622 [INFO] main           :99        Data after conversion: [['tag_1', 909090], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:40,080 [INFO] main           :155       No messages in the queue.
2025-01-07 00:20:40,207 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:45,502 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:45,504 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:45,506 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:45,540 [INFO] main           :85        Converting data for tag tag_1 - High Word: 57122, Low Word: 13
2025-01-07 00:20:45,542 [INFO] main           :87        Converted value for tag_1: 909090
2025-01-07 00:20:45,544 [INFO] main           :94        Converted tag_1 into signed: 909090
2025-01-07 00:20:45,545 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:45,560 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:45,561 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:45,563 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:45,565 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:45,572 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:45,573 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:45,575 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:45,577 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:45,586 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:45,588 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:45,590 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:45,592 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:45,600 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:45,601 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:45,602 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:45,604 [INFO] main           :99        Data after conversion: [['tag_1', 909090], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:45,931 [INFO] main           :135       Received message: ['tag_1', '909090']
2025-01-07 00:20:45,959 [INFO] main           :146       Tag Written successfully!
2025-01-07 00:20:46,056 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:51,350 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:51,352 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:51,355 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:51,392 [INFO] main           :85        Converting data for tag tag_1 - High Word: 57122, Low Word: 13
2025-01-07 00:20:51,394 [INFO] main           :87        Converted value for tag_1: 909090
2025-01-07 00:20:51,396 [INFO] main           :94        Converted tag_1 into signed: 909090
2025-01-07 00:20:51,398 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:51,408 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:51,413 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:51,415 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:51,417 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:51,431 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:51,433 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:51,434 [INFO] main           :94        Converted tag_3 into signed: 131401684
2025-01-07 00:20:51,436 [INFO] main           :68        Reading tag: tag_4
2025-01-07 00:20:51,447 [INFO] main           :85        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 00:20:51,449 [INFO] main           :87        Converted value for tag_4: 131532758
2025-01-07 00:20:51,451 [INFO] main           :94        Converted tag_4 into signed: 131532758
2025-01-07 00:20:51,452 [INFO] main           :68        Reading tag: tag_5
2025-01-07 00:20:51,468 [INFO] main           :85        Converting data for tag tag_5 - High Word: 2008, Low Word: 2009
2025-01-07 00:20:51,471 [INFO] main           :87        Converted value for tag_5: 131663832
2025-01-07 00:20:51,473 [INFO] main           :94        Converted tag_5 into signed: 131663832
2025-01-07 00:20:51,475 [INFO] main           :99        Data after conversion: [['tag_1', 909090], ['tag_2', 131268608], ['tag_3', 131401684], ['tag_4', 131532758], ['tag_5', 131663832]]
2025-01-07 00:20:51,815 [INFO] main           :155       No messages in the queue.
2025-01-07 00:20:51,911 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 00:20:57,212 [INFO] main           :55        Modbus Device Connected
2025-01-07 00:20:57,213 [INFO] main           :63        Getting Tags Data...
2025-01-07 00:20:57,215 [INFO] main           :68        Reading tag: tag_1
2025-01-07 00:20:57,231 [INFO] main           :85        Converting data for tag tag_1 - High Word: 57122, Low Word: 13
2025-01-07 00:20:57,232 [INFO] main           :87        Converted value for tag_1: 909090
2025-01-07 00:20:57,233 [INFO] main           :94        Converted tag_1 into signed: 909090
2025-01-07 00:20:57,235 [INFO] main           :68        Reading tag: tag_2
2025-01-07 00:20:57,263 [INFO] main           :85        Converting data for tag tag_2 - High Word: 0, Low Word: 2003
2025-01-07 00:20:57,264 [INFO] main           :87        Converted value for tag_2: 131268608
2025-01-07 00:20:57,265 [INFO] main           :94        Converted tag_2 into signed: 131268608
2025-01-07 00:20:57,267 [INFO] main           :68        Reading tag: tag_3
2025-01-07 00:20:57,279 [INFO] main           :85        Converting data for tag tag_3 - High Word: 2004, Low Word: 2005
2025-01-07 00:20:57,280 [INFO] main           :87        Converted value for tag_3: 131401684
2025-01-07 00:20:57,281 [INFO] main           :94        Converted tag_3 into signed: 131401684
