2025-01-11 21:28:06,497 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:28:07,879 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:28:07,883 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:28:07,885 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:28:07,910 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:28:07,912 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:28:07,914 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:28:07,916 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:28:07,926 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-11 21:28:07,928 [INFO] main           :106       Converted value for tag_2: 1120
2025-01-11 21:28:07,930 [INFO] main           :114       Converted tag_2 into signed: 1120
2025-01-11 21:28:07,932 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:28:07,942 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:28:07,944 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:28:07,946 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:28:07,948 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:28:07,962 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:28:07,964 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:28:07,966 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:28:07,968 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:28:07,978 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:28:07,980 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:28:07,982 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:28:07,984 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
