2025-01-09 22:19:54,146 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 22:19:54,921 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:19:54,923 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:19:54,924 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:19:55,032 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:19:55,033 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:19:55,035 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:19:55,037 [INFO] main           :78        Reading tag: tag_2
2025-01-09 22:19:55,108 [INFO] main           :98        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-09 22:19:55,109 [INFO] main           :100       Converted value for tag_2: 12309
2025-01-09 22:19:55,110 [INFO] main           :108       Converted tag_2 into signed: 12309
2025-01-09 22:19:55,112 [INFO] main           :78        Reading tag: tag_3
2025-01-09 22:19:55,156 [INFO] main           :98        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 22:19:55,157 [INFO] main           :100       Converted value for tag_3: 2220
2025-01-09 22:19:55,158 [INFO] main           :108       Converted tag_3 into signed: 2220
2025-01-09 22:19:55,160 [INFO] main           :78        Reading tag: tag_4
2025-01-09 22:19:55,172 [INFO] main           :98        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 22:19:55,173 [INFO] main           :100       Converted value for tag_4: 131532758
2025-01-09 22:19:55,174 [INFO] main           :108       Converted tag_4 into signed: 131532758
2025-01-09 22:19:55,176 [INFO] main           :78        Reading tag: tag_5
2025-01-09 22:19:55,184 [INFO] main           :98        Converting data for tag tag_5 - High Word: 16717, Low Word: 20046
2025-01-09 22:19:55,186 [INFO] main           :100       Converted value for tag_5: 1313751373
2025-01-09 22:19:55,187 [INFO] main           :108       Converted tag_5 into signed: 1313751373
2025-01-09 22:19:55,188 [INFO] main           :118       Data after conversion: [['tag_1', 1233], ['tag_2', 12309], ['tag_3', 2220], ['tag_4', 131532758]]
2025-01-09 22:19:57,033 [INFO] main           :186       Received message: ['tag_5', '16715', '16722']
2025-01-09 22:19:57,035 [ERROR] main           :210       Error processing message: name 'message_data' is not defined
2025-01-09 22:19:57,121 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-09 22:19:59,382 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:19:59,383 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:19:59,385 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:19:59,400 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:19:59,402 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:19:59,403 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:19:59,404 [INFO] main           :78        Reading tag: tag_2
