2025-01-09 23:21:17,141 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 23:21:17,530 [INFO] smtp_email     :41        Not Sent: name 'send' is not defined
2025-01-09 23:21:18,169 [INFO] main           :63        Modbus Device Connected
2025-01-09 23:21:18,171 [INFO] main           :74        Getting Tags Data...
2025-01-09 23:21:18,172 [INFO] main           :80        Reading tag: tag_1
2025-01-09 23:21:18,300 [INFO] main           :100       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:21:18,302 [INFO] main           :102       Converted value for tag_1: 435
2025-01-09 23:21:18,303 [INFO] main           :110       Converted tag_1 into signed: 435
2025-01-09 23:21:18,305 [INFO] main           :80        Reading tag: tag_2
2025-01-09 23:21:18,364 [INFO] main           :100       Converting data for tag tag_2 - High Word: 3430, Low Word: 0
2025-01-09 23:21:18,365 [INFO] main           :102       Converted value for tag_2: 3430
2025-01-09 23:21:18,366 [INFO] main           :110       Converted tag_2 into signed: 3430
2025-01-09 23:21:18,368 [INFO] main           :80        Reading tag: tag_3
2025-01-09 23:21:18,432 [INFO] main           :100       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:21:18,433 [INFO] main           :102       Converted value for tag_3: 2220
2025-01-09 23:21:18,435 [INFO] main           :110       Converted tag_3 into signed: 2220
2025-01-09 23:21:18,436 [INFO] main           :80        Reading tag: tag_4
2025-01-09 23:21:18,600 [INFO] main           :100       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:21:18,602 [INFO] main           :102       Converted value for tag_4: 131532758
2025-01-09 23:21:18,604 [INFO] main           :110       Converted tag_4 into signed: 131532758
2025-01-09 23:21:18,605 [INFO] main           :80        Reading tag: tag_5
