2025-01-12 20:01:30,867 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 20:01:32,103 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:01:32,105 [INFO] main           :60        Modbus Device Connected
2025-01-12 20:01:32,106 [INFO] main           :71        Getting Tags Data...
2025-01-12 20:01:32,107 [INFO] main           :77        Reading tag: tag_1
2025-01-12 20:01:32,122 [INFO] main           :97        Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 20:01:32,123 [INFO] main           :99        Converted value for tag_1: 1230
2025-01-12 20:01:32,124 [INFO] main           :107       Converted tag_1 into signed: 1230
2025-01-12 20:01:32,125 [INFO] main           :77        Reading tag: tag_2
2025-01-12 20:01:32,138 [INFO] main           :97        Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 20:01:32,139 [INFO] main           :99        Converted value for tag_2: 12900
2025-01-12 20:01:32,140 [INFO] main           :107       Converted tag_2 into signed: 12900
2025-01-12 20:01:32,141 [INFO] main           :77        Reading tag: tag_3
2025-01-12 20:01:32,150 [INFO] main           :97        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 20:01:32,151 [INFO] main           :99        Converted value for tag_3: 20
2025-01-12 20:01:32,152 [INFO] main           :107       Converted tag_3 into signed: 20
2025-01-12 20:01:32,153 [INFO] main           :77        Reading tag: tag_4
2025-01-12 20:01:32,166 [INFO] main           :97        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 20:01:32,167 [INFO] main           :99        Converted value for tag_4: 10
2025-01-12 20:01:32,168 [INFO] main           :107       Converted tag_4 into signed: 10
2025-01-12 20:01:32,170 [INFO] main           :77        Reading tag: tag_5
2025-01-12 20:01:32,178 [INFO] main           :97        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 20:01:32,179 [INFO] main           :99        Converted value for tag_5: 1650549345
2025-01-12 20:01:32,180 [INFO] main           :107       Converted tag_5 into signed: 1650549345
2025-01-12 20:01:32,182 [INFO] main           :117       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 20:01:32,184 [CRITICAL] main           :246       tag_2 VALUE EXCEEDED 1500!
2025-01-12 20:01:32,185 [CRITICAL] main           :247       tag_2 VALUE: 12900
2025-01-12 20:01:35,806 [INFO] smtp_email     :37        Connected to SMTP!
2025-01-12 20:01:35,808 [INFO] main           :258       previous value: 0
2025-01-12 20:01:35,809 [INFO] main           :259       Notification Sent
2025-01-12 20:01:36,026 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:01:36,106 [INFO] main           :207       No messages in the queue.
