2025-01-12 21:43:32,564 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 21:43:33,807 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:43:33,809 [INFO] main           :60        Modbus Device Connected
2025-01-12 21:43:33,810 [INFO] main           :71        Getting Tags Data...
2025-01-12 21:43:33,811 [INFO] main           :78        Reading tag: tag_1
2025-01-12 21:43:33,826 [INFO] main           :98        Converting data for tag tag_1 - High Word: 7700, Low Word: 0
2025-01-12 21:43:33,827 [INFO] main           :100       Converted value for tag_1: 7700
2025-01-12 21:43:33,828 [INFO] main           :108       Converted tag_1 into signed: 7700
2025-01-12 21:43:33,829 [INFO] main           :78        Reading tag: tag_2
2025-01-12 21:43:33,842 [INFO] main           :98        Converting data for tag tag_2 - High Word: 5700, Low Word: 0
2025-01-12 21:43:33,843 [INFO] main           :100       Converted value for tag_2: 5700
2025-01-12 21:43:33,844 [INFO] main           :108       Converted tag_2 into signed: 5700
2025-01-12 21:43:33,845 [INFO] main           :78        Reading tag: tag_3
2025-01-12 21:43:33,862 [INFO] main           :98        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 21:43:33,863 [INFO] main           :100       Converted value for tag_3: 20
2025-01-12 21:43:33,864 [INFO] main           :108       Converted tag_3 into signed: 20
2025-01-12 21:43:33,865 [INFO] main           :78        Reading tag: tag_4
2025-01-12 21:43:33,874 [INFO] main           :98        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 21:43:33,875 [INFO] main           :100       Converted value for tag_4: 10
2025-01-12 21:43:33,876 [INFO] main           :108       Converted tag_4 into signed: 10
2025-01-12 21:43:33,877 [INFO] main           :78        Reading tag: tag_5
2025-01-12 21:43:33,886 [INFO] main           :98        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 21:43:33,887 [INFO] main           :100       Converted value for tag_5: 1650549345
2025-01-12 21:43:33,889 [INFO] main           :108       Converted tag_5 into signed: 1650549345
2025-01-12 21:43:33,890 [INFO] main           :174       ASCII of tag_5: abab
2025-01-12 21:43:33,892 [INFO] main           :118       Data after conversion: [['tag_1', 7700], ['tag_2', 5700], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 21:43:33,911 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-12 21:43:33,913 [CRITICAL] main           :253       tag_2 VALUE: 5700
2025-01-12 21:43:34,131 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:43:34,203 [INFO] main           :164       No messages in the queue.
2025-01-12 21:43:34,333 [INFO] rabbit_mq      :31        Message published successfully.
2025-01-12 21:43:34,337 [INFO] main           :298       Total time: 0.749413251876831
2025-01-12 21:43:35,546 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:43:35,549 [INFO] main           :60        Modbus Device Connected
2025-01-12 21:43:35,550 [INFO] main           :71        Getting Tags Data...
2025-01-12 21:43:35,551 [INFO] main           :78        Reading tag: tag_1
2025-01-12 21:43:35,570 [INFO] main           :98        Converting data for tag tag_1 - High Word: 7700, Low Word: 0
2025-01-12 21:43:35,571 [INFO] main           :100       Converted value for tag_1: 7700
2025-01-12 21:43:35,572 [INFO] main           :108       Converted tag_1 into signed: 7700
2025-01-12 21:43:35,573 [INFO] main           :78        Reading tag: tag_2
2025-01-12 21:43:35,586 [INFO] main           :98        Converting data for tag tag_2 - High Word: 5700, Low Word: 0
2025-01-12 21:43:35,587 [INFO] main           :100       Converted value for tag_2: 5700
2025-01-12 21:43:35,588 [INFO] main           :108       Converted tag_2 into signed: 5700
2025-01-12 21:43:35,589 [INFO] main           :78        Reading tag: tag_3
2025-01-12 21:43:35,602 [INFO] main           :98        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 21:43:35,603 [INFO] main           :100       Converted value for tag_3: 20
2025-01-12 21:43:35,604 [INFO] main           :108       Converted tag_3 into signed: 20
2025-01-12 21:43:35,605 [INFO] main           :78        Reading tag: tag_4
2025-01-12 21:43:35,614 [INFO] main           :98        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 21:43:35,615 [INFO] main           :100       Converted value for tag_4: 10
2025-01-12 21:43:35,616 [INFO] main           :108       Converted tag_4 into signed: 10
2025-01-12 21:43:35,617 [INFO] main           :78        Reading tag: tag_5
2025-01-12 21:43:35,626 [INFO] main           :98        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 21:43:35,627 [INFO] main           :100       Converted value for tag_5: 1650549345
2025-01-12 21:43:35,628 [INFO] main           :108       Converted tag_5 into signed: 1650549345
2025-01-12 21:43:35,630 [INFO] main           :174       ASCII of tag_5: abab
2025-01-12 21:43:35,631 [INFO] main           :118       Data after conversion: [['tag_1', 7700], ['tag_2', 5700], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 21:43:35,649 [CRITICAL] main           :252       tag_2 VALUE EXCEEDED 1500!
2025-01-12 21:43:35,652 [CRITICAL] main           :253       tag_2 VALUE: 5700
2025-01-12 21:43:35,851 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:43:35,922 [INFO] main           :164       No messages in the queue.
2025-01-12 21:43:36,036 [INFO] rabbit_mq      :31        Message published successfully.
2025-01-12 21:43:36,038 [INFO] main           :298       Total time: 0.6978535652160645
2025-01-12 21:43:37,175 [INFO] smtp_email     :54        Connected to SMTP!
2025-01-12 21:43:37,178 [INFO] main           :266       previous value: 0.0
2025-01-12 21:43:37,179 [INFO] main           :267       Notification Sent
2025-01-12 21:43:37,182 [INFO] main           :275       Previous Value: 5700.0
2025-01-12 21:43:37,184 [INFO] main           :276       Notification Not Sent.
2025-01-12 21:43:37,308 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:43:37,311 [INFO] main           :60        Modbus Device Connected
