2025-01-11 21:36:15,139 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:36:16,431 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:36:16,432 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:36:16,433 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:36:16,457 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:36:16,458 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:36:16,460 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:36:16,461 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:36:16,473 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1, Low Word: 0
2025-01-11 21:36:16,474 [INFO] main           :106       Converted value for tag_2: 1
2025-01-11 21:36:16,476 [INFO] main           :114       Converted tag_2 into signed: 1
2025-01-11 21:36:16,477 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:36:16,486 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:36:16,487 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:36:16,488 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:36:16,489 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:36:16,501 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:36:16,502 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:36:16,504 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:36:16,505 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:36:16,513 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:36:16,514 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:36:16,516 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:36:16,517 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:36:16,843 [INFO] main           :220       No messages in the queue.
2025-01-11 21:36:16,937 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:36:18,206 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:36:18,208 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:36:18,209 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:36:18,225 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:36:18,226 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:36:18,228 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:36:18,229 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:36:18,241 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1, Low Word: 0
2025-01-11 21:36:18,242 [INFO] main           :106       Converted value for tag_2: 1
2025-01-11 21:36:18,244 [INFO] main           :114       Converted tag_2 into signed: 1
2025-01-11 21:36:18,245 [INFO] main           :84        Reading tag: tag_3
