2025-01-10 00:28:58,896 [INFO] logger         :39        Logger initialized successfully!
2025-01-10 00:28:59,549 [INFO] main           :65        Modbus Device Connected
2025-01-10 00:28:59,550 [INFO] main           :76        Getting Tags Data...
2025-01-10 00:28:59,552 [INFO] main           :82        Reading tag: tag_1
2025-01-10 00:28:59,568 [INFO] main           :102       Converting data for tag tag_1 - High Word: 57914, Low Word: 1
2025-01-10 00:28:59,570 [INFO] main           :104       Converted value for tag_1: 123450
2025-01-10 00:28:59,571 [INFO] main           :112       Converted tag_1 into signed: 123450
2025-01-10 00:28:59,572 [INFO] main           :82        Reading tag: tag_2
2025-01-10 00:28:59,584 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:28:59,585 [INFO] main           :104       Converted value for tag_2: 1230
2025-01-10 00:28:59,586 [INFO] main           :112       Converted tag_2 into signed: 1230
2025-01-10 00:28:59,588 [INFO] main           :82        Reading tag: tag_3
2025-01-10 00:28:59,596 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:28:59,597 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:28:59,599 [INFO] main           :112       Converted tag_3 into signed: 12340
2025-01-10 00:28:59,600 [INFO] main           :82        Reading tag: tag_4
2025-01-10 00:28:59,612 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:28:59,613 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 00:28:59,615 [INFO] main           :112       Converted tag_4 into signed: 10
2025-01-10 00:28:59,616 [INFO] main           :82        Reading tag: tag_5
2025-01-10 00:28:59,632 [INFO] main           :102       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:28:59,633 [INFO] main           :104       Converted value for tag_5: 1095585358
2025-01-10 00:28:59,634 [INFO] main           :112       Converted tag_5 into signed: 1095585358
2025-01-10 00:28:59,636 [INFO] main           :122       Data after conversion: [['tag_1', 123450], ['tag_2', 1230], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:28:59,637 [INFO] main           :253       TAG 2 Value Moderate
2025-01-10 00:28:59,929 [INFO] main           :218       No messages in the queue.
2025-01-10 00:29:00,013 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:29:01,016 [INFO] main           :278       Time taken: 1.721754550933838
2025-01-10 00:29:01,259 [INFO] main           :65        Modbus Device Connected
2025-01-10 00:29:01,261 [INFO] main           :76        Getting Tags Data...
2025-01-10 00:29:01,262 [INFO] main           :82        Reading tag: tag_1
2025-01-10 00:29:01,285 [INFO] main           :102       Converting data for tag tag_1 - High Word: 57914, Low Word: 1
2025-01-10 00:29:01,287 [INFO] main           :104       Converted value for tag_1: 123450
2025-01-10 00:29:01,289 [INFO] main           :112       Converted tag_1 into signed: 123450
2025-01-10 00:29:01,291 [INFO] main           :82        Reading tag: tag_2
2025-01-10 00:29:01,301 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:29:01,303 [INFO] main           :104       Converted value for tag_2: 1230
2025-01-10 00:29:01,305 [INFO] main           :112       Converted tag_2 into signed: 1230
2025-01-10 00:29:01,307 [INFO] main           :82        Reading tag: tag_3
2025-01-10 00:29:01,318 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:29:01,320 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:29:01,322 [INFO] main           :112       Converted tag_3 into signed: 12340
2025-01-10 00:29:01,324 [INFO] main           :82        Reading tag: tag_4
2025-01-10 00:29:01,342 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:29:01,344 [INFO] main           :104       Converted value for tag_4: 10
