2025-01-08 22:16:49,357 [INFO] logger         :39        Logger initialized successfully!
2025-01-08 22:16:49,943 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:16:49,944 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:16:49,946 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:16:49,959 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:16:49,960 [INFO] main           :92        Converted value for tag_1: 212310
2025-01-08 22:16:49,961 [INFO] main           :99        Converted tag_1 into signed: 212310
2025-01-08 22:16:49,962 [INFO] main           :69        Reading tag: tag_2
2025-01-08 22:16:49,974 [INFO] main           :88        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-08 22:16:49,976 [INFO] main           :92        Converted value for tag_2: 12309
2025-01-08 22:16:49,977 [INFO] main           :99        Converted tag_2 into signed: 12309
2025-01-08 22:16:49,978 [INFO] main           :69        Reading tag: tag_3
2025-01-08 22:16:50,006 [INFO] main           :88        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-08 22:16:50,008 [INFO] main           :92        Converted value for tag_3: 2220
2025-01-08 22:16:50,009 [INFO] main           :99        Converted tag_3 into signed: 2220
2025-01-08 22:16:50,010 [INFO] main           :69        Reading tag: tag_4
2025-01-08 22:16:50,026 [INFO] main           :88        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-08 22:16:50,027 [INFO] main           :92        Converted value for tag_4: 131532758
2025-01-08 22:16:50,028 [INFO] main           :99        Converted tag_4 into signed: 131532758
2025-01-08 22:16:50,030 [INFO] main           :69        Reading tag: tag_5
2025-01-08 22:16:50,042 [INFO] main           :88        Converting data for tag tag_5 - High Word: 16961, Low Word: 17475
2025-01-08 22:16:50,043 [INFO] main           :92        Converted value for tag_5: 1145258561
2025-01-08 22:16:50,044 [INFO] main           :99        Converted tag_5 into signed: 1145258561
2025-01-08 22:16:50,046 [INFO] main           :111       Data after conversion: [['tag_1', 212310], ['tag_2', 12309], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'ABCD']]
2025-01-08 22:16:50,358 [INFO] main           :203       No messages in the queue.
2025-01-08 22:16:50,446 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-08 22:16:52,711 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:16:52,712 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:16:52,713 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:16:52,726 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:16:52,727 [INFO] main           :92        Converted value for tag_1: 212310
2025-01-08 22:16:52,728 [INFO] main           :99        Converted tag_1 into signed: 212310
2025-01-08 22:16:52,730 [INFO] main           :69        Reading tag: tag_2
2025-01-08 22:16:52,738 [INFO] main           :88        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-08 22:16:52,739 [INFO] main           :92        Converted value for tag_2: 12309
2025-01-08 22:16:52,740 [INFO] main           :99        Converted tag_2 into signed: 12309
2025-01-08 22:16:52,741 [INFO] main           :69        Reading tag: tag_3
2025-01-08 22:16:52,750 [INFO] main           :88        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-08 22:16:52,751 [INFO] main           :92        Converted value for tag_3: 2220
2025-01-08 22:16:52,752 [INFO] main           :99        Converted tag_3 into signed: 2220
2025-01-08 22:16:52,753 [INFO] main           :69        Reading tag: tag_4
2025-01-08 22:16:52,762 [INFO] main           :88        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-08 22:16:52,763 [INFO] main           :92        Converted value for tag_4: 131532758
2025-01-08 22:16:52,764 [INFO] main           :99        Converted tag_4 into signed: 131532758
2025-01-08 22:16:52,766 [INFO] main           :69        Reading tag: tag_5
2025-01-08 22:16:52,782 [INFO] main           :88        Converting data for tag tag_5 - High Word: 16961, Low Word: 17475
