2025-01-12 21:36:40,877 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 21:36:42,119 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 21:36:42,121 [INFO] main           :60        Modbus Device Connected
2025-01-12 21:36:42,122 [INFO] main           :71        Getting Tags Data...
2025-01-12 21:36:42,123 [INFO] main           :78        Reading tag: tag_1
2025-01-12 21:36:42,154 [INFO] main           :98        Converting data for tag tag_1 - High Word: 7700, Low Word: 0
2025-01-12 21:36:42,155 [INFO] main           :100       Converted value for tag_1: 7700
2025-01-12 21:36:42,156 [INFO] main           :108       Converted tag_1 into signed: 7700
2025-01-12 21:36:42,157 [INFO] main           :78        Reading tag: tag_2
2025-01-12 21:36:42,170 [INFO] main           :98        Converting data for tag tag_2 - High Word: 5700, Low Word: 0
2025-01-12 21:36:42,171 [INFO] main           :100       Converted value for tag_2: 5700
2025-01-12 21:36:42,172 [INFO] main           :108       Converted tag_2 into signed: 5700
2025-01-12 21:36:42,173 [INFO] main           :78        Reading tag: tag_3
2025-01-12 21:36:42,186 [INFO] main           :98        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 21:36:42,187 [INFO] main           :100       Converted value for tag_3: 20
2025-01-12 21:36:42,188 [INFO] main           :108       Converted tag_3 into signed: 20
2025-01-12 21:36:42,189 [INFO] main           :78        Reading tag: tag_4
2025-01-12 21:36:42,238 [INFO] main           :98        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 21:36:42,239 [INFO] main           :100       Converted value for tag_4: 10
2025-01-12 21:36:42,240 [INFO] main           :108       Converted tag_4 into signed: 10
2025-01-12 21:36:42,241 [INFO] main           :78        Reading tag: tag_5
2025-01-12 21:36:42,262 [INFO] main           :98        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 21:36:42,263 [INFO] main           :100       Converted value for tag_5: 1650549345
2025-01-12 21:36:42,264 [INFO] main           :108       Converted tag_5 into signed: 1650549345
