2025-01-09 23:54:53,437 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 23:54:54,081 [INFO] main           :64        Modbus Device Connected
2025-01-09 23:54:54,082 [INFO] main           :75        Getting Tags Data...
2025-01-09 23:54:54,084 [INFO] main           :81        Reading tag: tag_1
2025-01-09 23:54:54,096 [INFO] main           :101       Converting data for tag tag_1 - High Word: 435, Low Word: 0
2025-01-09 23:54:54,097 [INFO] main           :103       Converted value for tag_1: 435
2025-01-09 23:54:54,099 [INFO] main           :111       Converted tag_1 into signed: 435
2025-01-09 23:54:54,100 [INFO] main           :81        Reading tag: tag_2
2025-01-09 23:54:54,112 [INFO] main           :101       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-09 23:54:54,113 [INFO] main           :103       Converted value for tag_2: 1230
2025-01-09 23:54:54,114 [INFO] main           :111       Converted tag_2 into signed: 1230
2025-01-09 23:54:54,116 [INFO] main           :81        Reading tag: tag_3
2025-01-09 23:54:54,128 [INFO] main           :101       Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 23:54:54,129 [INFO] main           :103       Converted value for tag_3: 2220
2025-01-09 23:54:54,130 [INFO] main           :111       Converted tag_3 into signed: 2220
2025-01-09 23:54:54,131 [INFO] main           :81        Reading tag: tag_4
2025-01-09 23:54:54,144 [INFO] main           :101       Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 23:54:54,145 [INFO] main           :103       Converted value for tag_4: 131532758
2025-01-09 23:54:54,146 [INFO] main           :111       Converted tag_4 into signed: 131532758
2025-01-09 23:54:54,147 [INFO] main           :81        Reading tag: tag_5
2025-01-09 23:54:54,160 [INFO] main           :101       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-09 23:54:54,162 [INFO] main           :103       Converted value for tag_5: 1095585358
2025-01-09 23:54:54,163 [INFO] main           :111       Converted tag_5 into signed: 1095585358
2025-01-09 23:54:54,164 [INFO] main           :121       Data after conversion: [['tag_1', 435], ['tag_2', 1230], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'MANN']]
2025-01-09 23:54:54,166 [INFO] main           :252       TAG 2 Value Moderate
2025-01-09 23:54:54,454 [INFO] main           :191       Received message: ['tag_3', '12.0']
2025-01-09 23:54:54,472 [INFO] main           :208       Tag Written successfully!
2025-01-09 23:54:54,552 [INFO] rabbit_mq      :35        Message published successfully.
