2025-01-13 00:15:14,187 [INFO] logger         :39        Logger initialized successfully!
2025-01-13 00:15:15,498 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-13 00:15:15,500 [INFO] main           :61        Modbus Device Connected
2025-01-13 00:15:15,502 [INFO] main           :72        Getting Tags Data...
2025-01-13 00:15:15,503 [INFO] main           :79        Reading tag: tag_1
2025-01-13 00:15:15,635 [INFO] main           :99        Converting data for tag tag_1 - High Word: 7700, Low Word: 0
2025-01-13 00:15:15,636 [INFO] main           :101       Converted value for tag_1: 7700
2025-01-13 00:15:15,637 [INFO] main           :109       Converted tag_1 into signed: 7700
2025-01-13 00:15:15,638 [INFO] main           :79        Reading tag: tag_2
2025-01-13 00:15:15,758 [INFO] main           :99        Converting data for tag tag_2 - High Word: 5700, Low Word: 0
2025-01-13 00:15:15,760 [INFO] main           :101       Converted value for tag_2: 5700
2025-01-13 00:15:15,761 [INFO] main           :109       Converted tag_2 into signed: 5700
2025-01-13 00:15:15,762 [INFO] main           :79        Reading tag: tag_3
2025-01-13 00:15:16,006 [INFO] main           :99        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-13 00:15:16,007 [INFO] main           :101       Converted value for tag_3: 20
2025-01-13 00:15:16,008 [INFO] main           :109       Converted tag_3 into signed: 20
2025-01-13 00:15:16,010 [INFO] main           :79        Reading tag: tag_4
2025-01-13 00:15:16,019 [INFO] main           :99        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-13 00:15:16,020 [INFO] main           :101       Converted value for tag_4: 10
2025-01-13 00:15:16,021 [INFO] main           :109       Converted tag_4 into signed: 10
2025-01-13 00:15:16,022 [INFO] main           :79        Reading tag: tag_5
2025-01-13 00:15:16,034 [INFO] main           :99        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-13 00:15:16,035 [INFO] main           :101       Converted value for tag_5: 1650549345
2025-01-13 00:15:16,036 [INFO] main           :109       Converted tag_5 into signed: 1650549345
2025-01-13 00:15:16,037 [INFO] main           :175       ASCII of tag_5: abab
2025-01-13 00:15:16,039 [INFO] main           :119       Data after conversion: [['tag_1', 7700], ['tag_2', 5700], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-13 00:15:16,057 [CRITICAL] main           :258       tag_2 VALUE EXCEEDED 1500!
2025-01-13 00:15:16,059 [CRITICAL] main           :259       tag_2 VALUE: 5700
2025-01-13 00:15:16,431 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-13 00:15:16,634 [INFO] main           :165       No messages in the queue.
2025-01-13 00:15:16,751 [INFO] rabbit_mq      :33        Failed to publish message: name 'EXCHANGE_NAME' is not defined
2025-01-13 00:15:16,752 [INFO] main           :304       Total time: 1.6192517280578613
2025-01-13 00:15:17,966 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-13 00:15:17,969 [INFO] main           :61        Modbus Device Connected
2025-01-13 00:15:17,970 [INFO] main           :72        Getting Tags Data...
2025-01-13 00:15:17,972 [INFO] main           :79        Reading tag: tag_1
2025-01-13 00:15:18,006 [INFO] main           :99        Converting data for tag tag_1 - High Word: 7700, Low Word: 0
2025-01-13 00:15:18,007 [INFO] main           :101       Converted value for tag_1: 7700
2025-01-13 00:15:18,009 [INFO] main           :109       Converted tag_1 into signed: 7700
2025-01-13 00:15:18,010 [INFO] main           :79        Reading tag: tag_2
