2025-01-09 22:19:39,794 [INFO] logger         :39        Logger initialized successfully!
2025-01-09 22:19:40,393 [INFO] main           :61        Modbus Device Connected
2025-01-09 22:19:40,395 [INFO] main           :72        Getting Tags Data...
2025-01-09 22:19:40,396 [INFO] main           :78        Reading tag: tag_1
2025-01-09 22:19:40,428 [INFO] main           :98        Converting data for tag tag_1 - High Word: 1233, Low Word: 0
2025-01-09 22:19:40,430 [INFO] main           :100       Converted value for tag_1: 1233
2025-01-09 22:19:40,431 [INFO] main           :108       Converted tag_1 into signed: 1233
2025-01-09 22:19:40,432 [INFO] main           :78        Reading tag: tag_2
2025-01-09 22:19:40,444 [INFO] main           :98        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-09 22:19:40,445 [INFO] main           :100       Converted value for tag_2: 12309
2025-01-09 22:19:40,447 [INFO] main           :108       Converted tag_2 into signed: 12309
2025-01-09 22:19:40,448 [INFO] main           :78        Reading tag: tag_3
2025-01-09 22:19:40,460 [INFO] main           :98        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-09 22:19:40,461 [INFO] main           :100       Converted value for tag_3: 2220
2025-01-09 22:19:40,462 [INFO] main           :108       Converted tag_3 into signed: 2220
2025-01-09 22:19:40,464 [INFO] main           :78        Reading tag: tag_4
2025-01-09 22:19:40,476 [INFO] main           :98        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-09 22:19:40,478 [INFO] main           :100       Converted value for tag_4: 131532758
2025-01-09 22:19:40,479 [INFO] main           :108       Converted tag_4 into signed: 131532758
2025-01-09 22:19:40,480 [INFO] main           :78        Reading tag: tag_5
2025-01-09 22:19:40,492 [INFO] main           :98        Converting data for tag tag_5 - High Word: 16717, Low Word: 20046
2025-01-09 22:19:40,494 [INFO] main           :100       Converted value for tag_5: 1313751373
2025-01-09 22:19:40,496 [INFO] main           :108       Converted tag_5 into signed: 1313751373
