2025-01-12 20:41:25,447 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 20:41:26,650 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:41:26,653 [INFO] main           :59        Modbus Device Connected
2025-01-12 20:41:26,654 [INFO] main           :70        Getting Tags Data...
2025-01-12 20:41:26,656 [INFO] main           :77        Reading tag: tag_1
2025-01-12 20:41:26,682 [INFO] main           :97        Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 20:41:26,683 [INFO] main           :99        Converted value for tag_1: 1230
2025-01-12 20:41:26,684 [INFO] main           :107       Converted tag_1 into signed: 1230
2025-01-12 20:41:26,685 [INFO] main           :77        Reading tag: tag_2
2025-01-12 20:41:26,698 [INFO] main           :97        Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 20:41:26,699 [INFO] main           :99        Converted value for tag_2: 12900
2025-01-12 20:41:26,700 [INFO] main           :107       Converted tag_2 into signed: 12900
2025-01-12 20:41:26,701 [INFO] main           :77        Reading tag: tag_3
2025-01-12 20:41:26,710 [INFO] main           :97        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 20:41:26,711 [INFO] main           :99        Converted value for tag_3: 20
2025-01-12 20:41:26,712 [INFO] main           :107       Converted tag_3 into signed: 20
2025-01-12 20:41:26,713 [INFO] main           :77        Reading tag: tag_4
2025-01-12 20:41:26,726 [INFO] main           :97        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 20:41:26,728 [INFO] main           :99        Converted value for tag_4: 10
2025-01-12 20:41:26,729 [INFO] main           :107       Converted tag_4 into signed: 10
2025-01-12 20:41:26,731 [INFO] main           :77        Reading tag: tag_5
2025-01-12 20:41:26,746 [INFO] main           :97        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 20:41:26,747 [INFO] main           :99        Converted value for tag_5: 1650549345
2025-01-12 20:41:26,749 [INFO] main           :107       Converted tag_5 into signed: 1650549345
2025-01-12 20:41:26,752 [INFO] main           :173       ASCII of tag_5: abab
2025-01-12 20:41:26,754 [INFO] main           :117       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 20:41:26,757 [CRITICAL] main           :250       tag_2 VALUE EXCEEDED 1500!
2025-01-12 20:41:26,758 [CRITICAL] main           :251       tag_2 VALUE: 12900
2025-01-12 20:41:30,254 [INFO] smtp_email     :38        Connected to SMTP!
2025-01-12 20:41:30,256 [INFO] main           :262       previous value: 0
2025-01-12 20:41:30,257 [INFO] main           :263       Notification Sent
2025-01-12 20:41:30,463 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:41:30,542 [INFO] main           :163       No messages in the queue.
2025-01-12 20:41:30,680 [INFO] rabbit_mq      :31        Message published successfully.
2025-01-12 20:41:30,682 [INFO] main           :290       Total time: 4.230372905731201
