2025-01-10 06:17:59,506 [INFO] logger         :39        Logger initialized successfully!
2025-01-10 06:18:00,562 [INFO] main           :64        Modbus Device Connected
2025-01-10 06:18:00,567 [INFO] main           :75        Getting Tags Data...
2025-01-10 06:18:00,570 [INFO] main           :81        Reading tag: tag_1
2025-01-10 06:18:00,596 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 06:18:00,597 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 06:18:00,598 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 06:18:00,600 [INFO] main           :81        Reading tag: tag_2
2025-01-10 06:18:00,611 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 06:18:00,613 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 06:18:00,616 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 06:18:00,619 [INFO] main           :81        Reading tag: tag_3
2025-01-10 06:18:00,644 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 06:18:00,645 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 06:18:00,648 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 06:18:00,651 [INFO] main           :81        Reading tag: tag_4
2025-01-10 06:18:00,676 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 06:18:00,679 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 06:18:00,681 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 06:18:00,684 [INFO] main           :81        Reading tag: tag_5
2025-01-10 06:18:00,707 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 06:18:00,710 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 06:18:00,716 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 06:18:00,719 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 06:18:00,722 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 06:18:01,036 [INFO] main           :219       No messages in the queue.
2025-01-10 06:18:01,119 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 06:18:02,123 [INFO] main           :293       Time taken: 1.9045977592468262
2025-01-10 06:18:02,389 [INFO] main           :64        Modbus Device Connected
2025-01-10 06:18:02,391 [INFO] main           :75        Getting Tags Data...
2025-01-10 06:18:02,393 [INFO] main           :81        Reading tag: tag_1
2025-01-10 06:18:02,404 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 06:18:02,405 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 06:18:02,407 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 06:18:02,409 [INFO] main           :81        Reading tag: tag_2
2025-01-10 06:18:02,419 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 06:18:02,421 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 06:18:02,423 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 06:18:02,424 [INFO] main           :81        Reading tag: tag_3
2025-01-10 06:18:02,439 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 06:18:02,441 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 06:18:02,442 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 06:18:02,444 [INFO] main           :81        Reading tag: tag_4
2025-01-10 06:18:02,455 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 06:18:02,457 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 06:18:02,459 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 06:18:02,460 [INFO] main           :81        Reading tag: tag_5
2025-01-10 06:18:02,475 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 06:18:02,477 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 06:18:02,478 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 06:18:02,480 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 06:18:02,481 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 06:18:02,772 [INFO] main           :219       No messages in the queue.
2025-01-10 06:18:02,867 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 06:18:03,871 [INFO] main           :293       Time taken: 1.7465367317199707
2025-01-10 06:18:04,137 [INFO] main           :64        Modbus Device Connected
2025-01-10 06:18:04,140 [INFO] main           :75        Getting Tags Data...
2025-01-10 06:18:04,141 [INFO] main           :81        Reading tag: tag_1
2025-01-10 06:18:04,156 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 06:18:04,157 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 06:18:04,160 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 06:18:04,161 [INFO] main           :81        Reading tag: tag_2
2025-01-10 06:18:04,172 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 06:18:04,173 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 06:18:04,175 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 06:18:04,176 [INFO] main           :81        Reading tag: tag_3
2025-01-10 06:18:04,188 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 06:18:04,189 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 06:18:04,191 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 06:18:04,192 [INFO] main           :81        Reading tag: tag_4
2025-01-10 06:18:04,203 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 06:18:04,205 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 06:18:04,206 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 06:18:04,208 [INFO] main           :81        Reading tag: tag_5
2025-01-10 06:18:04,219 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 06:18:04,221 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 06:18:04,223 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 06:18:04,224 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 06:18:04,226 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 06:18:04,540 [INFO] main           :219       No messages in the queue.
2025-01-10 06:18:04,630 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 07:39:09,808 [INFO] main           :293       Time taken: 4865.935703754425
2025-01-10 07:39:10,112 [INFO] main           :64        Modbus Device Connected
2025-01-10 07:39:10,113 [INFO] main           :75        Getting Tags Data...
2025-01-10 07:39:10,115 [INFO] main           :81        Reading tag: tag_1
2025-01-10 07:39:10,170 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 07:39:10,171 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 07:39:10,173 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 07:39:10,174 [INFO] main           :81        Reading tag: tag_2
2025-01-10 07:39:10,202 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 07:39:10,203 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 07:39:10,205 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 07:39:10,206 [INFO] main           :81        Reading tag: tag_3
2025-01-10 07:39:10,234 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 07:39:10,235 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 07:39:10,237 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 07:39:10,238 [INFO] main           :81        Reading tag: tag_4
2025-01-10 07:39:10,270 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 07:39:10,271 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 07:39:10,273 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 07:39:10,274 [INFO] main           :81        Reading tag: tag_5
2025-01-10 07:39:10,302 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 07:39:10,303 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 07:39:10,306 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 07:39:10,309 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 07:39:10,312 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 07:39:10,703 [INFO] main           :219       No messages in the queue.
2025-01-10 07:39:10,783 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 07:39:11,785 [INFO] main           :293       Time taken: 1.9759199619293213
2025-01-10 07:39:12,040 [INFO] main           :64        Modbus Device Connected
2025-01-10 07:39:12,041 [INFO] main           :75        Getting Tags Data...
2025-01-10 07:39:12,043 [INFO] main           :81        Reading tag: tag_1
2025-01-10 07:39:12,070 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 07:39:12,071 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 07:39:12,072 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 07:39:12,074 [INFO] main           :81        Reading tag: tag_2
2025-01-10 07:39:12,086 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 07:39:12,087 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 07:39:12,088 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 07:39:12,090 [INFO] main           :81        Reading tag: tag_3
2025-01-10 07:39:12,102 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 07:39:12,103 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 07:39:12,104 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 07:39:12,106 [INFO] main           :81        Reading tag: tag_4
2025-01-10 07:39:12,118 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 07:39:12,119 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 07:39:12,121 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 07:39:12,122 [INFO] main           :81        Reading tag: tag_5
2025-01-10 07:39:12,134 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 07:39:12,135 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 07:39:12,136 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 07:39:12,138 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 07:39:12,139 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 07:39:12,439 [INFO] main           :219       No messages in the queue.
2025-01-10 07:39:12,531 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 07:39:13,533 [INFO] main           :293       Time taken: 1.7462959289550781
2025-01-10 07:39:13,775 [INFO] main           :64        Modbus Device Connected
2025-01-10 07:39:13,777 [INFO] main           :75        Getting Tags Data...
2025-01-10 07:39:13,778 [INFO] main           :81        Reading tag: tag_1
2025-01-10 07:39:13,806 [INFO] main           :102       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-10 07:39:13,807 [INFO] main           :104       Converted value for tag_1: 1230
2025-01-10 07:39:13,808 [INFO] main           :113       Converted tag_1 into signed: 1230
2025-01-10 07:39:13,810 [INFO] main           :81        Reading tag: tag_2
2025-01-10 07:39:13,822 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-10 07:39:13,823 [INFO] main           :104       Converted value for tag_2: 1120
2025-01-10 07:39:13,824 [INFO] main           :113       Converted tag_2 into signed: 1120
2025-01-10 07:39:13,826 [INFO] main           :81        Reading tag: tag_3
2025-01-10 07:39:13,838 [INFO] main           :102       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-10 07:39:13,839 [INFO] main           :104       Converted value for tag_3: 20
2025-01-10 07:39:13,840 [INFO] main           :113       Converted tag_3 into signed: 20
2025-01-10 07:39:13,842 [INFO] main           :81        Reading tag: tag_4
2025-01-10 07:39:13,858 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 07:39:13,859 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 07:39:13,863 [INFO] main           :113       Converted tag_4 into signed: 10
2025-01-10 07:39:13,864 [INFO] main           :81        Reading tag: tag_5
2025-01-10 07:39:13,878 [INFO] main           :102       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-10 07:39:13,879 [INFO] main           :104       Converted value for tag_5: 1650549345
2025-01-10 07:39:13,880 [INFO] main           :113       Converted tag_5 into signed: 1650549345
2025-01-10 07:39:13,882 [INFO] main           :123       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-10 07:39:13,884 [INFO] main           :268       TAG 2 Value Moderate
2025-01-10 07:39:14,191 [INFO] main           :219       No messages in the queue.
2025-01-10 07:39:14,274 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 07:39:15,277 [INFO] main           :293       Time taken: 1.7427210807800293
2025-01-10 07:39:15,520 [INFO] main           :64        Modbus Device Connected
2025-01-10 07:39:15,521 [INFO] main           :75        Getting Tags Data...
2025-01-10 07:39:15,523 [INFO] main           :81        Reading tag: tag_1
