2025-01-07 22:29:51,342 [INFO] logger         :39        Logger initialized successfully!
2025-01-07 22:29:52,003 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:29:52,004 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:29:52,006 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:29:52,021 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:29:52,022 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:29:52,023 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:29:52,026 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:29:52,037 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:29:52,038 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:29:52,040 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:29:52,042 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:29:52,053 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:29:52,054 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:29:52,055 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:29:52,057 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:29:52,069 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:29:52,070 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:29:52,072 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:29:52,073 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:29:52,085 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:29:52,086 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:29:52,088 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:29:52,090 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:29:52,397 [INFO] main           :189       No messages in the queue.
2025-01-07 22:29:52,482 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:29:54,722 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:29:54,723 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:29:54,724 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:29:54,749 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:29:54,750 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:29:54,751 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:29:54,752 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:29:54,765 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:29:54,766 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:29:54,767 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:29:54,768 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:29:54,781 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:29:54,782 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:29:54,783 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:29:54,784 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:29:54,797 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:29:54,798 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:29:54,799 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:29:54,801 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:29:54,813 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:29:54,815 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:29:54,816 [INFO] main           :95        Converted tag_5 into signed: -2121212121
