2025-01-07 22:34:42,043 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:42,365 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:42,437 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:44,686 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:44,687 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:44,688 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:44,709 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:44,710 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:44,712 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:44,713 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:44,721 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:44,722 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:44,723 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:44,724 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:44,741 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:44,742 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:44,743 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:44,744 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:44,773 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:44,774 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:44,775 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:44,776 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:44,789 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:44,790 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:44,791 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:44,792 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:45,061 [INFO] main           :169       Received message: ['tag_1', '123.1']
2025-01-07 22:34:45,063 [ERROR] main           :184       Tag not written: 'int' object has no attribute 'strip'
2025-01-07 22:34:45,153 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:47,400 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:47,401 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:47,403 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:47,425 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:47,427 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:47,429 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:47,431 [INFO] main           :69        Reading tag: tag_2
