2025-01-08 22:29:13,010 [INFO] logger         :39        Logger initialized successfully!
2025-01-08 22:29:13,599 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:29:13,601 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:29:13,602 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:29:13,622 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:29:13,623 [INFO] main           :92        Converted value for tag_1: 212310
2025-01-08 22:29:13,625 [INFO] main           :99        Converted tag_1 into signed: 212310
2025-01-08 22:29:13,626 [INFO] main           :69        Reading tag: tag_2
2025-01-08 22:29:13,638 [INFO] main           :88        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-08 22:29:13,639 [INFO] main           :92        Converted value for tag_2: 12309
2025-01-08 22:29:13,640 [INFO] main           :99        Converted tag_2 into signed: 12309
2025-01-08 22:29:13,642 [INFO] main           :69        Reading tag: tag_3
2025-01-08 22:29:13,654 [INFO] main           :88        Converting data for tag tag_3 - High Word: 2220, Low Word: 0
2025-01-08 22:29:13,656 [INFO] main           :92        Converted value for tag_3: 2220
2025-01-08 22:29:13,657 [INFO] main           :99        Converted tag_3 into signed: 2220
2025-01-08 22:29:13,659 [INFO] main           :69        Reading tag: tag_4
2025-01-08 22:29:13,674 [INFO] main           :88        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-08 22:29:13,675 [INFO] main           :92        Converted value for tag_4: 131532758
2025-01-08 22:29:13,677 [INFO] main           :99        Converted tag_4 into signed: 131532758
2025-01-08 22:29:13,679 [INFO] main           :69        Reading tag: tag_5
2025-01-08 22:29:13,690 [INFO] main           :88        Converting data for tag tag_5 - High Word: 16715, Low Word: 16722
2025-01-08 22:29:13,691 [INFO] main           :92        Converted value for tag_5: 1095909707
2025-01-08 22:29:13,692 [INFO] main           :99        Converted tag_5 into signed: 1095909707
2025-01-08 22:29:13,694 [INFO] main           :111       Data after conversion: [['tag_1', 212310], ['tag_2', 12309], ['tag_3', 2220], ['tag_4', 131532758], ['tag_5', 'KARA']]
2025-01-08 22:29:13,986 [INFO] main           :203       No messages in the queue.
2025-01-08 22:29:14,070 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-08 22:29:16,307 [INFO] main           :56        Modbus Device Connected
2025-01-08 22:29:16,308 [INFO] main           :64        Getting Tags Data...
2025-01-08 22:29:16,310 [INFO] main           :69        Reading tag: tag_1
2025-01-08 22:29:16,323 [INFO] main           :88        Converting data for tag tag_1 - High Word: 15702, Low Word: 3
2025-01-08 22:29:16,324 [INFO] main           :92        Converted value for tag_1: 212310
2025-01-08 22:29:16,326 [INFO] main           :99        Converted tag_1 into signed: 212310
2025-01-08 22:29:16,328 [INFO] main           :69        Reading tag: tag_2
2025-01-08 22:29:16,347 [INFO] main           :88        Converting data for tag tag_2 - High Word: 12309, Low Word: 0
2025-01-08 22:29:16,348 [INFO] main           :92        Converted value for tag_2: 12309
