2025-01-10 00:00:08,733 [INFO] logger         :39        Logger initialized successfully!
2025-01-10 00:00:09,750 [INFO] main3          :63        Modbus Device Connected
2025-01-10 00:00:09,754 [INFO] main3          :74        Getting Tags Data...
2025-01-10 00:00:09,757 [INFO] main3          :80        Reading tag: tag_1
2025-01-10 00:00:09,796 [INFO] main3          :100       Converting data for tag tag_1 - High Word: 10, Low Word: 0
2025-01-10 00:00:09,798 [INFO] main3          :102       Converted value for tag_1: 10
2025-01-10 00:00:09,800 [INFO] main3          :110       Converted tag_1 into signed: 10
2025-01-10 00:00:09,801 [INFO] main3          :80        Reading tag: tag_2
2025-01-10 00:00:09,812 [INFO] main3          :100       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:00:09,814 [INFO] main3          :102       Converted value for tag_2: 1230
2025-01-10 00:00:09,815 [INFO] main3          :110       Converted tag_2 into signed: 1230
2025-01-10 00:00:09,817 [INFO] main3          :80        Reading tag: tag_3
2025-01-10 00:00:09,830 [INFO] main3          :100       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:00:09,833 [INFO] main3          :102       Converted value for tag_3: 12340
2025-01-10 00:00:09,835 [INFO] main3          :110       Converted tag_3 into signed: 12340
2025-01-10 00:00:09,837 [INFO] main3          :80        Reading tag: tag_4
2025-01-10 00:00:09,924 [INFO] main3          :100       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:00:09,926 [INFO] main3          :102       Converted value for tag_4: 10
2025-01-10 00:00:09,927 [INFO] main3          :110       Converted tag_4 into signed: 10
2025-01-10 00:00:09,929 [INFO] main3          :80        Reading tag: tag_5
2025-01-10 00:00:09,940 [INFO] main3          :100       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:00:09,942 [INFO] main3          :102       Converted value for tag_5: 1095585358
2025-01-10 00:00:09,943 [INFO] main3          :110       Converted tag_5 into signed: 1095585358
2025-01-10 00:00:09,944 [INFO] main3          :120       Data after conversion: [['tag_1', 10], ['tag_2', 1230], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:00:09,946 [INFO] main3          :251       TAG 2 Value Moderate
2025-01-10 00:00:10,421 [INFO] main3          :216       No messages in the queue.
2025-01-10 00:00:10,502 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:00:11,746 [INFO] main3          :63        Modbus Device Connected
2025-01-10 00:00:11,747 [INFO] main3          :74        Getting Tags Data...
2025-01-10 00:00:11,749 [INFO] main3          :80        Reading tag: tag_1
2025-01-10 00:00:11,800 [INFO] main3          :100       Converting data for tag tag_1 - High Word: 10, Low Word: 0
2025-01-10 00:00:11,802 [INFO] main3          :102       Converted value for tag_1: 10
2025-01-10 00:00:11,803 [INFO] main3          :110       Converted tag_1 into signed: 10
2025-01-10 00:00:11,804 [INFO] main3          :80        Reading tag: tag_2
2025-01-10 00:00:11,816 [INFO] main3          :100       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:00:11,817 [INFO] main3          :102       Converted value for tag_2: 1230
2025-01-10 00:00:11,819 [INFO] main3          :110       Converted tag_2 into signed: 1230
2025-01-10 00:00:11,822 [INFO] main3          :80        Reading tag: tag_3
2025-01-10 00:00:11,836 [INFO] main3          :100       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:00:11,838 [INFO] main3          :102       Converted value for tag_3: 12340
2025-01-10 00:00:11,840 [INFO] main3          :110       Converted tag_3 into signed: 12340
2025-01-10 00:00:11,841 [INFO] main3          :80        Reading tag: tag_4
