2025-01-11 21:43:21,150 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:43:22,555 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:43:22,556 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:43:22,557 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:43:22,573 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:43:22,574 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:43:22,576 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:43:22,577 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:43:22,589 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1510, Low Word: 0
2025-01-11 21:43:22,590 [INFO] main           :106       Converted value for tag_2: 1510
2025-01-11 21:43:22,592 [INFO] main           :114       Converted tag_2 into signed: 1510
2025-01-11 21:43:22,593 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:43:22,601 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:43:22,602 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:43:22,604 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:43:22,605 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:43:22,617 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:43:22,618 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:43:22,620 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:43:22,621 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:43:22,633 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:43:22,634 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:43:22,635 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:43:22,637 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1510], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:43:22,638 [INFO] main           :254       Tag_2 Value Exceeded 1500!
2025-01-11 21:43:23,006 [INFO] main           :220       No messages in the queue.
2025-01-11 21:43:23,098 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:43:24,369 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:43:24,370 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:43:24,372 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:43:24,394 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:43:24,396 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:43:24,398 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:43:24,400 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:43:24,406 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1510, Low Word: 0
2025-01-11 21:43:24,408 [INFO] main           :106       Converted value for tag_2: 1510
2025-01-11 21:43:24,410 [INFO] main           :114       Converted tag_2 into signed: 1510
2025-01-11 21:43:24,412 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:43:24,418 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:43:24,419 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:43:24,420 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:43:24,422 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:43:24,430 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:43:24,431 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:43:24,432 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:43:24,434 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:43:24,438 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:43:24,439 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:43:24,440 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:43:24,442 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1510], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:43:24,443 [INFO] main           :257       Tag_2 Value Moderate!
2025-01-11 21:43:24,742 [INFO] main           :220       No messages in the queue.
2025-01-11 21:43:24,818 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:43:26,055 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:43:26,056 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:43:26,057 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:43:26,069 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:43:26,070 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:43:26,072 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:43:26,073 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:43:26,085 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1510, Low Word: 0
2025-01-11 21:43:26,086 [INFO] main           :106       Converted value for tag_2: 1510
2025-01-11 21:43:26,088 [INFO] main           :114       Converted tag_2 into signed: 1510
2025-01-11 21:43:26,089 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:43:26,097 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:43:26,099 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:43:26,100 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:43:26,101 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:43:26,113 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:43:26,114 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:43:26,115 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:43:26,117 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:43:26,125 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:43:26,127 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:43:26,129 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:43:26,130 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1510], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:43:26,131 [INFO] main           :257       Tag_2 Value Moderate!
2025-01-11 21:43:26,419 [INFO] main           :220       No messages in the queue.
2025-01-11 21:43:26,511 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:43:27,787 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:43:27,788 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:43:27,789 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:43:27,801 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:43:27,803 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:43:27,804 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:43:27,805 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:43:27,814 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1510, Low Word: 0
2025-01-11 21:43:27,815 [INFO] main           :106       Converted value for tag_2: 1510
2025-01-11 21:43:27,816 [INFO] main           :114       Converted tag_2 into signed: 1510
2025-01-11 21:43:27,817 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:43:27,829 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:43:27,830 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:43:27,832 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:43:27,833 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:43:27,845 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:43:27,846 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:43:27,848 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:43:27,849 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:43:27,861 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:43:27,862 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:43:27,864 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:43:27,865 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1510], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:43:27,867 [INFO] main           :257       Tag_2 Value Moderate!
2025-01-11 21:43:28,158 [INFO] main           :220       No messages in the queue.
2025-01-11 21:43:28,241 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:43:29,500 [INFO] main           :67        Modbus Device Connected
