2025-01-11 22:33:27,702 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 22:33:30,395 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:33:30,396 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:33:30,397 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:33:30,414 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:33:30,415 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:33:30,416 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:33:30,417 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:33:30,430 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:33:30,431 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:33:30,432 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:33:30,433 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:33:30,446 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:33:30,447 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:33:30,448 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:33:30,449 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:33:30,462 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:33:30,463 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:33:30,464 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:33:30,465 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:33:30,510 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:33:30,511 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:33:30,513 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:33:30,515 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:33:30,516 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:33:30,517 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:33:30,519 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-11 22:33:30,520 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-11 22:33:34,219 [INFO] main           :271       previous value: 0
2025-01-11 22:33:34,221 [INFO] main           :272       Notification Sent
2025-01-11 22:33:34,522 [INFO] main           :220       No messages in the queue.
2025-01-11 22:33:34,610 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:33:35,870 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:33:35,872 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:33:35,873 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:33:35,890 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:33:35,891 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:33:35,892 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:33:35,893 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:33:35,906 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:33:35,907 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-11 22:33:35,908 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-11 22:33:35,909 [INFO] main           :84        Reading tag: tag_3
2025-01-11 22:33:35,922 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 22:33:35,923 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 22:33:35,924 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 22:33:35,925 [INFO] main           :84        Reading tag: tag_4
2025-01-11 22:33:35,938 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 22:33:35,939 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 22:33:35,940 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 22:33:35,941 [INFO] main           :84        Reading tag: tag_5
2025-01-11 22:33:35,954 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 22:33:35,955 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 22:33:35,956 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 22:33:35,957 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 22:33:35,958 [CRITICAL] main           :259       tag_2 VALUE EXCEEDED 1500!
2025-01-11 22:33:35,959 [CRITICAL] main           :260       tag_2 VALUE: 12900
2025-01-11 22:33:35,961 [INFO] main           :280       Previous Value: 12900
2025-01-11 22:33:35,962 [INFO] main           :281       Notification Not Sent.
2025-01-11 22:33:36,230 [INFO] main           :220       No messages in the queue.
2025-01-11 22:33:36,321 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 22:33:37,579 [INFO] main           :67        Modbus Device Connected
2025-01-11 22:33:37,580 [INFO] main           :78        Getting Tags Data...
2025-01-11 22:33:37,581 [INFO] main           :84        Reading tag: tag_1
2025-01-11 22:33:37,598 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 22:33:37,599 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 22:33:37,600 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 22:33:37,601 [INFO] main           :84        Reading tag: tag_2
2025-01-11 22:33:37,610 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-11 22:33:37,611 [INFO] main           :106       Converted value for tag_2: 12900
