2025-01-11 21:42:27,445 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:42:28,739 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:42:28,740 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:42:28,743 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:42:28,757 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:42:28,758 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:42:28,760 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:42:28,761 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:42:28,769 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1510, Low Word: 0
2025-01-11 21:42:28,770 [INFO] main           :106       Converted value for tag_2: 1510
2025-01-11 21:42:28,772 [INFO] main           :114       Converted tag_2 into signed: 1510
2025-01-11 21:42:28,773 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:42:28,781 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:42:28,783 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:42:28,784 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:42:28,785 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:42:28,813 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:42:28,814 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:42:28,816 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:42:28,817 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:42:28,829 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:42:28,831 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:42:28,832 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:42:28,834 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1510], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-11 21:42:28,836 [INFO] main           :254       Tag_2 Value Exceeded 1500!
2025-01-11 21:42:29,122 [INFO] main           :220       No messages in the queue.
2025-01-11 21:42:29,211 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-11 21:42:30,475 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:42:30,476 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:42:30,478 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:42:30,506 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:42:30,507 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:42:30,508 [INFO] main           :114       Converted tag_1 into signed: 1230
