2025-01-11 21:28:52,684 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:28:54,084 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:28:54,085 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:28:54,087 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:28:54,102 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:28:54,104 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:28:54,106 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:28:54,108 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:28:54,118 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-11 21:28:54,122 [INFO] main           :106       Converted value for tag_2: 1120
2025-01-11 21:28:54,124 [INFO] main           :114       Converted tag_2 into signed: 1120
2025-01-11 21:28:54,126 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:28:54,150 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:28:54,151 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:28:54,152 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:28:54,154 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:28:54,166 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:28:54,167 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:28:54,168 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:28:54,170 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:28:54,182 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:28:54,183 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:28:54,184 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:28:54,186 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
