2025-01-10 00:28:47,780 [INFO] logger         :39        Logger initialized successfully!
2025-01-10 00:28:48,413 [INFO] main           :65        Modbus Device Connected
2025-01-10 00:28:48,414 [INFO] main           :76        Getting Tags Data...
2025-01-10 00:28:48,416 [INFO] main           :82        Reading tag: tag_1
2025-01-10 00:28:48,444 [INFO] main           :102       Converting data for tag tag_1 - High Word: 57914, Low Word: 1
2025-01-10 00:28:48,446 [INFO] main           :104       Converted value for tag_1: 123450
2025-01-10 00:28:48,447 [INFO] main           :112       Converted tag_1 into signed: 123450
2025-01-10 00:28:48,448 [INFO] main           :82        Reading tag: tag_2
2025-01-10 00:28:48,460 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:28:48,461 [INFO] main           :104       Converted value for tag_2: 1230
2025-01-10 00:28:48,462 [INFO] main           :112       Converted tag_2 into signed: 1230
2025-01-10 00:28:48,464 [INFO] main           :82        Reading tag: tag_3
2025-01-10 00:28:48,472 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:28:48,473 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:28:48,474 [INFO] main           :112       Converted tag_3 into signed: 12340
2025-01-10 00:28:48,476 [INFO] main           :82        Reading tag: tag_4
2025-01-10 00:28:48,484 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:28:48,485 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 00:28:48,486 [INFO] main           :112       Converted tag_4 into signed: 10
2025-01-10 00:28:48,488 [INFO] main           :82        Reading tag: tag_5
2025-01-10 00:28:48,500 [INFO] main           :102       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:28:48,501 [INFO] main           :104       Converted value for tag_5: 1095585358
2025-01-10 00:28:48,502 [INFO] main           :112       Converted tag_5 into signed: 1095585358
2025-01-10 00:28:48,504 [INFO] main           :122       Data after conversion: [['tag_1', 123450], ['tag_2', 1230], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:28:48,505 [INFO] main           :253       TAG 2 Value Moderate
2025-01-10 00:28:48,793 [INFO] main           :218       No messages in the queue.
2025-01-10 00:28:48,869 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:28:49,871 [INFO] main           :278       Time taken: 1.7273151874542236
2025-01-10 00:28:50,113 [INFO] main           :65        Modbus Device Connected
2025-01-10 00:28:50,114 [INFO] main           :76        Getting Tags Data...
2025-01-10 00:28:50,115 [INFO] main           :82        Reading tag: tag_1
2025-01-10 00:28:50,132 [INFO] main           :102       Converting data for tag tag_1 - High Word: 57914, Low Word: 1
2025-01-10 00:28:50,133 [INFO] main           :104       Converted value for tag_1: 123450
2025-01-10 00:28:50,134 [INFO] main           :112       Converted tag_1 into signed: 123450
2025-01-10 00:28:50,136 [INFO] main           :82        Reading tag: tag_2
2025-01-10 00:28:50,144 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:28:50,145 [INFO] main           :104       Converted value for tag_2: 1230
2025-01-10 00:28:50,146 [INFO] main           :112       Converted tag_2 into signed: 1230
2025-01-10 00:28:50,148 [INFO] main           :82        Reading tag: tag_3
2025-01-10 00:28:50,156 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:28:50,157 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:28:50,159 [INFO] main           :112       Converted tag_3 into signed: 12340
2025-01-10 00:28:50,160 [INFO] main           :82        Reading tag: tag_4
2025-01-10 00:28:50,180 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:28:50,181 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 00:28:50,183 [INFO] main           :112       Converted tag_4 into signed: 10
2025-01-10 00:28:50,184 [INFO] main           :82        Reading tag: tag_5
2025-01-10 00:28:50,196 [INFO] main           :102       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:28:50,197 [INFO] main           :104       Converted value for tag_5: 1095585358
2025-01-10 00:28:50,198 [INFO] main           :112       Converted tag_5 into signed: 1095585358
2025-01-10 00:28:50,200 [INFO] main           :122       Data after conversion: [['tag_1', 123450], ['tag_2', 1230], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:28:50,201 [INFO] main           :253       TAG 2 Value Moderate
2025-01-10 00:28:50,497 [INFO] main           :218       No messages in the queue.
2025-01-10 00:28:50,616 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:28:51,619 [INFO] main           :278       Time taken: 1.7465717792510986
2025-01-10 00:28:51,879 [INFO] main           :65        Modbus Device Connected
2025-01-10 00:28:51,881 [INFO] main           :76        Getting Tags Data...
2025-01-10 00:28:51,883 [INFO] main           :82        Reading tag: tag_1
2025-01-10 00:28:51,906 [INFO] main           :102       Converting data for tag tag_1 - High Word: 57914, Low Word: 1
2025-01-10 00:28:51,908 [INFO] main           :104       Converted value for tag_1: 123450
2025-01-10 00:28:51,910 [INFO] main           :112       Converted tag_1 into signed: 123450
2025-01-10 00:28:51,912 [INFO] main           :82        Reading tag: tag_2
2025-01-10 00:28:51,918 [INFO] main           :102       Converting data for tag tag_2 - High Word: 1230, Low Word: 0
2025-01-10 00:28:51,920 [INFO] main           :104       Converted value for tag_2: 1230
2025-01-10 00:28:51,922 [INFO] main           :112       Converted tag_2 into signed: 1230
2025-01-10 00:28:51,924 [INFO] main           :82        Reading tag: tag_3
2025-01-10 00:28:51,934 [INFO] main           :102       Converting data for tag tag_3 - High Word: 12340, Low Word: 0
2025-01-10 00:28:51,936 [INFO] main           :104       Converted value for tag_3: 12340
2025-01-10 00:28:51,937 [INFO] main           :112       Converted tag_3 into signed: 12340
2025-01-10 00:28:51,939 [INFO] main           :82        Reading tag: tag_4
2025-01-10 00:28:51,946 [INFO] main           :102       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-10 00:28:51,949 [INFO] main           :104       Converted value for tag_4: 10
2025-01-10 00:28:51,950 [INFO] main           :112       Converted tag_4 into signed: 10
2025-01-10 00:28:51,952 [INFO] main           :82        Reading tag: tag_5
2025-01-10 00:28:51,965 [INFO] main           :102       Converting data for tag tag_5 - High Word: 20046, Low Word: 16717
2025-01-10 00:28:51,967 [INFO] main           :104       Converted value for tag_5: 1095585358
2025-01-10 00:28:51,969 [INFO] main           :112       Converted tag_5 into signed: 1095585358
2025-01-10 00:28:51,971 [INFO] main           :122       Data after conversion: [['tag_1', 123450], ['tag_2', 1230], ['tag_3', 12340], ['tag_4', 10], ['tag_5', 'MANN']]
2025-01-10 00:28:51,973 [INFO] main           :253       TAG 2 Value Moderate
2025-01-10 00:28:52,269 [INFO] main           :218       No messages in the queue.
2025-01-10 00:28:52,352 [INFO] rabbit_mq      :35        Message published successfully.
2025-01-10 00:28:53,355 [INFO] main           :278       Time taken: 1.7336962223052979
