2025-01-12 20:28:07,581 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 20:28:08,799 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:28:08,801 [INFO] main4          :58        Modbus Device Connected
2025-01-12 20:28:08,803 [INFO] main4          :69        Getting Tags Data...
2025-01-12 20:28:08,804 [INFO] main4          :76        Reading tag: tag_1
2025-01-12 20:28:08,818 [INFO] main4          :96        Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 20:28:08,819 [INFO] main4          :98        Converted value for tag_1: 1230
2025-01-12 20:28:08,821 [INFO] main4          :106       Converted tag_1 into signed: 1230
2025-01-12 20:28:08,822 [INFO] main4          :76        Reading tag: tag_2
2025-01-12 20:28:08,866 [INFO] main4          :96        Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 20:28:08,868 [INFO] main4          :98        Converted value for tag_2: 12900
2025-01-12 20:28:08,870 [INFO] main4          :106       Converted tag_2 into signed: 12900
2025-01-12 20:28:08,871 [INFO] main4          :76        Reading tag: tag_3
2025-01-12 20:28:08,882 [INFO] main4          :96        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 20:28:08,884 [INFO] main4          :98        Converted value for tag_3: 20
2025-01-12 20:28:08,886 [INFO] main4          :106       Converted tag_3 into signed: 20
2025-01-12 20:28:08,887 [INFO] main4          :76        Reading tag: tag_4
2025-01-12 20:28:08,914 [INFO] main4          :96        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 20:28:08,915 [INFO] main4          :98        Converted value for tag_4: 10
2025-01-12 20:28:08,917 [INFO] main4          :106       Converted tag_4 into signed: 10
2025-01-12 20:28:08,919 [INFO] main4          :76        Reading tag: tag_5
2025-01-12 20:28:08,934 [INFO] main4          :96        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 20:28:08,936 [INFO] main4          :98        Converted value for tag_5: 1650549345
2025-01-12 20:28:08,938 [INFO] main4          :106       Converted tag_5 into signed: 1650549345
2025-01-12 20:28:08,940 [INFO] main4          :172       ASCII of tag_5: abab
2025-01-12 20:28:08,941 [INFO] main4          :116       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
