2025-01-11 21:28:24,583 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:28:25,783 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:28:25,784 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:28:25,785 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:28:25,798 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:28:25,799 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:28:25,800 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:28:25,801 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:28:25,813 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-11 21:28:25,814 [INFO] main           :106       Converted value for tag_2: 1120
2025-01-11 21:28:25,816 [INFO] main           :114       Converted tag_2 into signed: 1120
2025-01-11 21:28:25,817 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:28:25,829 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:28:25,830 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:28:25,832 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:28:25,833 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:28:25,845 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:28:25,846 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:28:25,847 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:28:25,849 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:28:25,861 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:28:25,863 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:28:25,864 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:28:25,866 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
