2025-01-12 19:12:05,163 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 19:12:06,395 [INFO] rabbit_mq      :20        Connected to RabbitMQ
2025-01-12 19:12:06,397 [INFO] main           :68        Modbus Device Connected
2025-01-12 19:12:06,398 [INFO] main           :79        Getting Tags Data...
2025-01-12 19:12:06,400 [INFO] main           :85        Reading tag: tag_1
2025-01-12 19:12:06,426 [INFO] main           :105       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 19:12:06,427 [INFO] main           :107       Converted value for tag_1: 1230
2025-01-12 19:12:06,428 [INFO] main           :115       Converted tag_1 into signed: 1230
2025-01-12 19:12:06,430 [INFO] main           :85        Reading tag: tag_2
2025-01-12 19:12:06,438 [INFO] main           :105       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 19:12:06,440 [INFO] main           :107       Converted value for tag_2: 12900
2025-01-12 19:12:06,441 [INFO] main           :115       Converted tag_2 into signed: 12900
2025-01-12 19:12:06,443 [INFO] main           :85        Reading tag: tag_3
2025-01-12 19:12:06,458 [INFO] main           :105       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 19:12:06,459 [INFO] main           :107       Converted value for tag_3: 20
2025-01-12 19:12:06,461 [INFO] main           :115       Converted tag_3 into signed: 20
2025-01-12 19:12:06,463 [INFO] main           :85        Reading tag: tag_4
2025-01-12 19:12:06,474 [INFO] main           :105       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 19:12:06,476 [INFO] main           :107       Converted value for tag_4: 10
2025-01-12 19:12:06,478 [INFO] main           :115       Converted tag_4 into signed: 10
2025-01-12 19:12:06,480 [INFO] main           :85        Reading tag: tag_5
2025-01-12 19:12:06,494 [INFO] main           :105       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 19:12:06,495 [INFO] main           :107       Converted value for tag_5: 1650549345
2025-01-12 19:12:06,497 [INFO] main           :115       Converted tag_5 into signed: 1650549345
2025-01-12 19:12:06,499 [INFO] main           :125       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 19:12:06,502 [CRITICAL] main           :262       tag_2 VALUE EXCEEDED 1500!
2025-01-12 19:12:06,504 [CRITICAL] main           :263       tag_2 VALUE: 12900
2025-01-12 19:12:06,505 [INFO] smtp_email     :15        Connecting to SMTP
2025-01-12 19:12:06,508 [INFO] smtp_email     :19        Connected to SMTP!
2025-01-12 19:12:09,954 [INFO] main           :274       previous value: 0
2025-01-12 19:12:09,956 [INFO] main           :275       Notification Sent
