2025-01-11 21:28:29,685 [INFO] logger         :39        Logger initialized successfully!
2025-01-11 21:28:31,039 [INFO] main           :67        Modbus Device Connected
2025-01-11 21:28:31,041 [INFO] main           :78        Getting Tags Data...
2025-01-11 21:28:31,042 [INFO] main           :84        Reading tag: tag_1
2025-01-11 21:28:31,058 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-11 21:28:31,059 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-11 21:28:31,060 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-11 21:28:31,062 [INFO] main           :84        Reading tag: tag_2
2025-01-11 21:28:31,070 [INFO] main           :104       Converting data for tag tag_2 - High Word: 1120, Low Word: 0
2025-01-11 21:28:31,071 [INFO] main           :106       Converted value for tag_2: 1120
2025-01-11 21:28:31,072 [INFO] main           :114       Converted tag_2 into signed: 1120
2025-01-11 21:28:31,074 [INFO] main           :84        Reading tag: tag_3
2025-01-11 21:28:31,086 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-11 21:28:31,087 [INFO] main           :106       Converted value for tag_3: 20
2025-01-11 21:28:31,088 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-11 21:28:31,090 [INFO] main           :84        Reading tag: tag_4
2025-01-11 21:28:31,098 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-11 21:28:31,099 [INFO] main           :106       Converted value for tag_4: 10
2025-01-11 21:28:31,101 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-11 21:28:31,102 [INFO] main           :84        Reading tag: tag_5
2025-01-11 21:28:31,113 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-11 21:28:31,115 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-11 21:28:31,116 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-11 21:28:31,118 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 1120], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
