2025-01-12 14:28:50,424 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 14:28:51,658 [INFO] rabbit_mq      :20        Connected to RabbitMQ
2025-01-12 14:28:51,660 [INFO] main           :67        Modbus Device Connected
2025-01-12 14:28:51,662 [INFO] main           :78        Getting Tags Data...
2025-01-12 14:28:51,664 [INFO] main           :84        Reading tag: tag_1
2025-01-12 14:28:51,689 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 14:28:51,691 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-12 14:28:51,692 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-12 14:28:51,694 [INFO] main           :84        Reading tag: tag_2
2025-01-12 14:28:51,709 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 14:28:51,711 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-12 14:28:51,712 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-12 14:28:51,714 [INFO] main           :84        Reading tag: tag_3
2025-01-12 14:28:51,722 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 14:28:51,723 [INFO] main           :106       Converted value for tag_3: 20
2025-01-12 14:28:51,725 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-12 14:28:51,726 [INFO] main           :84        Reading tag: tag_4
2025-01-12 14:28:51,738 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 14:28:51,739 [INFO] main           :106       Converted value for tag_4: 10
2025-01-12 14:28:51,741 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-12 14:28:51,742 [INFO] main           :84        Reading tag: tag_5
2025-01-12 14:28:51,754 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 14:28:51,755 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-12 14:28:51,758 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-12 14:28:51,759 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 14:28:51,762 [CRITICAL] main           :260       tag_2 VALUE EXCEEDED 1500!
2025-01-12 14:28:51,763 [CRITICAL] main           :261       tag_2 VALUE: 12900
2025-01-12 14:28:51,765 [INFO] main           :272       previous value: 0
2025-01-12 14:28:51,768 [INFO] main           :273       Notification Sent
2025-01-12 14:28:52,050 [INFO] main           :221       No messages in the queue.
2025-01-12 14:28:52,126 [INFO] rabbit_mq      :37        Message published successfully.
2025-01-12 14:28:53,398 [INFO] rabbit_mq      :20        Connected to RabbitMQ
2025-01-12 14:28:53,400 [INFO] main           :67        Modbus Device Connected
2025-01-12 14:28:53,402 [INFO] main           :78        Getting Tags Data...
2025-01-12 14:28:53,403 [INFO] main           :84        Reading tag: tag_1
2025-01-12 14:28:53,429 [INFO] main           :104       Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 14:28:53,430 [INFO] main           :106       Converted value for tag_1: 1230
2025-01-12 14:28:53,432 [INFO] main           :114       Converted tag_1 into signed: 1230
2025-01-12 14:28:53,433 [INFO] main           :84        Reading tag: tag_2
2025-01-12 14:28:53,442 [INFO] main           :104       Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 14:28:53,443 [INFO] main           :106       Converted value for tag_2: 12900
2025-01-12 14:28:53,445 [INFO] main           :114       Converted tag_2 into signed: 12900
2025-01-12 14:28:53,446 [INFO] main           :84        Reading tag: tag_3
2025-01-12 14:28:53,461 [INFO] main           :104       Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 14:28:53,463 [INFO] main           :106       Converted value for tag_3: 20
2025-01-12 14:28:53,465 [INFO] main           :114       Converted tag_3 into signed: 20
2025-01-12 14:28:53,466 [INFO] main           :84        Reading tag: tag_4
2025-01-12 14:28:53,478 [INFO] main           :104       Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 14:28:53,479 [INFO] main           :106       Converted value for tag_4: 10
2025-01-12 14:28:53,481 [INFO] main           :114       Converted tag_4 into signed: 10
2025-01-12 14:28:53,483 [INFO] main           :84        Reading tag: tag_5
2025-01-12 14:28:53,494 [INFO] main           :104       Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 14:28:53,495 [INFO] main           :106       Converted value for tag_5: 1650549345
2025-01-12 14:28:53,497 [INFO] main           :114       Converted tag_5 into signed: 1650549345
2025-01-12 14:28:53,499 [INFO] main           :124       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
2025-01-12 14:28:53,501 [CRITICAL] main           :260       tag_2 VALUE EXCEEDED 1500!
2025-01-12 14:28:53,503 [CRITICAL] main           :261       tag_2 VALUE: 12900
2025-01-12 14:28:53,504 [INFO] main           :281       Previous Value: 12900
2025-01-12 14:28:53,506 [INFO] main           :282       Notification Not Sent.
2025-01-12 14:28:53,830 [INFO] main           :221       No messages in the queue.
2025-01-12 14:28:53,910 [INFO] rabbit_mq      :37        Message published successfully.
