2025-01-12 20:27:50,444 [INFO] logger         :39        Logger initialized successfully!
2025-01-12 20:27:51,703 [INFO] rabbit_mq      :13        Connected to RabbitMQ
2025-01-12 20:27:51,706 [INFO] main4          :58        Modbus Device Connected
2025-01-12 20:27:51,707 [INFO] main4          :69        Getting Tags Data...
2025-01-12 20:27:51,708 [INFO] main4          :76        Reading tag: tag_1
2025-01-12 20:27:51,734 [INFO] main4          :96        Converting data for tag tag_1 - High Word: 1230, Low Word: 0
2025-01-12 20:27:51,736 [INFO] main4          :98        Converted value for tag_1: 1230
2025-01-12 20:27:51,737 [INFO] main4          :106       Converted tag_1 into signed: 1230
2025-01-12 20:27:51,739 [INFO] main4          :76        Reading tag: tag_2
2025-01-12 20:27:51,750 [INFO] main4          :96        Converting data for tag tag_2 - High Word: 12900, Low Word: 0
2025-01-12 20:27:51,751 [INFO] main4          :98        Converted value for tag_2: 12900
2025-01-12 20:27:51,753 [INFO] main4          :106       Converted tag_2 into signed: 12900
2025-01-12 20:27:51,754 [INFO] main4          :76        Reading tag: tag_3
2025-01-12 20:27:51,766 [INFO] main4          :96        Converting data for tag tag_3 - High Word: 20, Low Word: 0
2025-01-12 20:27:51,767 [INFO] main4          :98        Converted value for tag_3: 20
2025-01-12 20:27:51,768 [INFO] main4          :106       Converted tag_3 into signed: 20
2025-01-12 20:27:51,770 [INFO] main4          :76        Reading tag: tag_4
2025-01-12 20:27:51,778 [INFO] main4          :96        Converting data for tag tag_4 - High Word: 10, Low Word: 0
2025-01-12 20:27:51,779 [INFO] main4          :98        Converted value for tag_4: 10
2025-01-12 20:27:51,780 [INFO] main4          :106       Converted tag_4 into signed: 10
2025-01-12 20:27:51,782 [INFO] main4          :76        Reading tag: tag_5
2025-01-12 20:27:51,794 [INFO] main4          :96        Converting data for tag tag_5 - High Word: 25185, Low Word: 25185
2025-01-12 20:27:51,795 [INFO] main4          :98        Converted value for tag_5: 1650549345
2025-01-12 20:27:51,796 [INFO] main4          :106       Converted tag_5 into signed: 1650549345
2025-01-12 20:27:51,798 [INFO] main4          :172       ASCII of tag_5: abab
2025-01-12 20:27:51,799 [INFO] main4          :116       Data after conversion: [['tag_1', 1230], ['tag_2', 12900], ['tag_3', 20], ['tag_4', 10], ['tag_5', 'abab']]
